"grade","dimension","dim","code","statement","link","orig_dimension","orig_dim","code2"
"K","Algebra, Geometry, Trig, Calculus & Higher Level Thinking","AGTC&HLT","K.OA.A.3","Decompose numbers less than or equal to 10 into pairs in more than one way, e.g., by using objects or drawings, and record each decomposition by a drawing or equation (e.g., 5 = 2 + 3 and 5 = 4 + 1).","http://corestandards.org/Math/Content/K/OA/A/3/","Operations & Algebraic Thinking","OA","OA.A.3"
"K","Algebra, Geometry, Trig, Calculus & Higher Level Thinking","AGTC&HLT","K.OA.A.4","For any number from 1 to 9, find the number that makes 10 when added to the given number, e.g., by using objects or drawings, and record the answer with a drawing or equation.","http://corestandards.org/Math/Content/K/OA/A/4/","Operations & Algebraic Thinking","OA","OA.A.4"
"K","Algebra, Geometry, Trig, Calculus & Higher Level Thinking","AGTC&HLT","K.OA.A.5","Fluently add and subtract within 5.","http://corestandards.org/Math/Content/K/OA/A/5/","Operations & Algebraic Thinking","OA","OA.A.5"
"01","Algebra, Geometry, Trig, Calculus & Higher Level Thinking","AGTC&HLT","1.G.A.1","Distinguish between defining attributes (e.g., triangles are closed and three-sided) versus non-defining attributes (e.g., color, orientation, overall size); build and draw shapes to possess defining attributes.","http://corestandards.org/Math/Content/1/G/A/1/","Geometry","G","G.A.1"
"01","Algebra, Geometry, Trig, Calculus & Higher Level Thinking","AGTC&HLT","1.G.A.2","Compose two-dimensional shapes (rectangles, squares, trapezoids, triangles, half-circles, and quarter-circles) or three-dimensional shapes (cubes, right rectangular prisms, right circular cones, and right circular cylinders) to create a composite shape, and compose new shapes from the composite shape.<sup>1</sup>","http://corestandards.org/Math/Content/1/G/A/2/","Geometry","G","G.A.2"
"01","Algebra, Geometry, Trig, Calculus & Higher Level Thinking","AGTC&HLT","1.G.A.3","Partition circles and rectangles into two and four equal shares, describe the shares using the words <i>halves</i>, <i>fourths</i>, and <i>quarters</i>, and use the phrases <i>half of</i>, <i>fourth of</i>, and <i>quarter of</i>. Describe the whole as two of, or four of the shares. Understand for these examples that decomposing into more equal shares creates smaller shares.","http://corestandards.org/Math/Content/1/G/A/3/","Geometry","G","G.A.3"
"01","Measurement, Data, Probability & Statistics","MDP&S","1.MD.A.1","Order three objects by length; compare the lengths of two objects indirectly by using a third object.","http://corestandards.org/Math/Content/1/MD/A/1/","Measurement & Data","MD","MD.A.1"
"01","Measurement, Data, Probability & Statistics","MDP&S","1.MD.A.2","Express the length of an object as a whole number of length units, by laying multiple copies of a shorter object (the length unit) end to end; understand that the length measurement of an object is the number of same-size length units that span it with no gaps or overlaps. <i>Limit to contexts where the object being measured is spanned by a whole number of length units with no gaps or overlaps</i>.","http://corestandards.org/Math/Content/1/MD/A/2/","Measurement & Data","MD","MD.A.2"
"01","Measurement, Data, Probability & Statistics","MDP&S","1.MD.B.3","Tell and write time in hours and half-hours using analog and digital clocks.","http://corestandards.org/Math/Content/1/MD/B/3/","Measurement & Data","MD","MD.B.3"
"01","Measurement, Data, Probability & Statistics","MDP&S","1.MD.C.4","Organize, represent, and interpret data with up to three categories; ask and answer questions about the total number of data points, how many in each category, and how many more or less are in one category than in another.","http://corestandards.org/Math/Content/1/MD/C/4/","Measurement & Data","MD","MD.C.4"
"01","Number Systems, Operations & Abstract Representation","NSO&AR","1.NBT.A.1","Count to 120, starting at any number less than 120. In this range, read and write numerals and represent a number of objects with a written numeral.","http://corestandards.org/Math/Content/1/NBT/A/1/","Numbers & Operations Base 10","NBT","NBT.A.1"
"01","Number Systems, Operations & Abstract Representation","NSO&AR","1.NBT.B.2","Understand that the two digits of a two-digit number represent amounts of tens and ones. Understand the following as special cases:","http://corestandards.org/Math/Content/1/NBT/B/2/","Numbers & Operations Base 10","NBT","NBT.B.2"
"01","Number Systems, Operations & Abstract Representation","NSO&AR","1.NBT.B.2a","10 can be thought of as a bundle of ten ones &mdash; called a ""ten.""","http://corestandards.org/Math/Content/1/NBT/B/2/a/","Numbers & Operations Base 10","NBT","NBT.B.2a"
"01","Number Systems, Operations & Abstract Representation","NSO&AR","1.NBT.B.2b","The numbers from 11 to 19 are composed of a ten and one, two, three, four, five, six, seven, eight, or nine ones.","http://corestandards.org/Math/Content/1/NBT/B/2/b/","Numbers & Operations Base 10","NBT","NBT.B.2b"
"01","Number Systems, Operations & Abstract Representation","NSO&AR","1.NBT.B.2c","The numbers 10, 20, 30, 40, 50, 60, 70, 80, 90 refer to one, two, three, four, five, six, seven, eight, or nine tens (and 0 ones).","http://corestandards.org/Math/Content/1/NBT/B/2/c/","Numbers & Operations Base 10","NBT","NBT.B.2c"
"01","Number Systems, Operations & Abstract Representation","NSO&AR","1.NBT.B.3","Compare two two-digit numbers based on meanings of the tens and ones digits, recording the results of comparisons with the symbols &gt;, =, and &lt;.","http://corestandards.org/Math/Content/1/NBT/B/3/","Numbers & Operations Base 10","NBT","NBT.B.3"
"01","Number Systems, Operations & Abstract Representation","NSO&AR","1.NBT.C.4","Add within 100, including adding a two-digit number and a one-digit number, and adding a two-digit number and a multiple of 10, using concrete models or drawings and strategies based on place value, properties of operations, and/or the relationship between addition and subtraction; relate the strategy to a written method and explain the reasoning used. Understand that in adding two-digit numbers, one adds tens and tens, ones and ones; and sometimes it is necessary to compose a ten.","http://corestandards.org/Math/Content/1/NBT/C/4/","Numbers & Operations Base 10","NBT","NBT.C.4"
"01","Number Systems, Operations & Abstract Representation","NSO&AR","1.NBT.C.5","Given a two-digit number, mentally find 10 more or 10 less than the number, without having to count; explain the reasoning used.","http://corestandards.org/Math/Content/1/NBT/C/5/","Numbers & Operations Base 10","NBT","NBT.C.5"
"01","Number Systems, Operations & Abstract Representation","NSO&AR","1.NBT.C.6","Subtract multiples of 10 in the range 10-90 from multiples of 10 in the range 10-90 (positive or zero differences), using concrete models or drawings and strategies based on place value, properties of operations, and/or the relationship between addition and subtraction; relate the strategy to a written method and explain the reasoning used.","http://corestandards.org/Math/Content/1/NBT/C/6/","Numbers & Operations Base 10","NBT","NBT.C.6"
"01","Algebra, Geometry, Trig, Calculus & Higher Level Thinking","AGTC&HLT","1.OA.A.1","Use addition and subtraction within 20 to solve word problems involving situations of adding to, taking from, putting together, taking apart, and comparing, with unknowns in all positions, e.g., by using objects, drawings, and equations with a symbol for the unknown number to represent the problem.<sup>1</sup>","http://corestandards.org/Math/Content/1/OA/A/1/","Operations & Algebraic Thinking","OA","OA.A.1"
"01","Algebra, Geometry, Trig, Calculus & Higher Level Thinking","AGTC&HLT","1.OA.A.2","Solve word problems that call for addition of three whole numbers whose sum is less than or equal to 20, e.g., by using objects, drawings, and equations with a symbol for the unknown number to represent the problem.","http://corestandards.org/Math/Content/1/OA/A/2/","Operations & Algebraic Thinking","OA","OA.A.2"
"01","Algebra, Geometry, Trig, Calculus & Higher Level Thinking","AGTC&HLT","1.OA.B.3","Apply properties of operations as strategies to add and subtract.<sup>2</sup> <i>Examples: If 8 + 3 = 11 is known, then 3 + 8 = 11 is also known. (Commutative property of addition.) To add 2 + 6 + 4, the second two numbers can be added to make a ten, so 2 + 6 + 4 = 2 + 10 = 12. (Associative property of addition.) </i>","http://corestandards.org/Math/Content/1/OA/B/3/","Operations & Algebraic Thinking","OA","OA.B.3"
"01","Algebra, Geometry, Trig, Calculus & Higher Level Thinking","AGTC&HLT","1.OA.B.4","Understand subtraction as an unknown-addend problem. <i>For example, subtract 10 - 8 by finding the number that makes 10 when added to 8.</i>","http://corestandards.org/Math/Content/1/OA/B/4/","Operations & Algebraic Thinking","OA","OA.B.4"
"01","Algebra, Geometry, Trig, Calculus & Higher Level Thinking","AGTC&HLT","1.OA.C.5","Relate counting to addition and subtraction (e.g., by counting on 2 to add 2).","http://corestandards.org/Math/Content/1/OA/C/5/","Operations & Algebraic Thinking","OA","OA.C.5"
"01","Algebra, Geometry, Trig, Calculus & Higher Level Thinking","AGTC&HLT","1.OA.C.6","Add and subtract within 20, demonstrating fluency for addition and subtraction within 10. Use strategies such as counting on; making ten (e.g., 8 + 6 = 8 + 2 + 4 = 10 + 4 = 14); decomposing a number leading to a ten (e.g., 13 - 4 = 13 - 3 - 1 = 10 - 1 = 9); using the relationship between addition and subtraction (e.g., knowing that 8 + 4 = 12, one knows 12 - 8 = 4); and creating equivalent but easier or known sums (e.g., adding 6 + 7 by creating the known equivalent 6 + 6 + 1 = 12 + 1 = 13).","http://corestandards.org/Math/Content/1/OA/C/6/","Operations & Algebraic Thinking","OA","OA.C.6"
"01","Algebra, Geometry, Trig, Calculus & Higher Level Thinking","AGTC&HLT","1.OA.D.7","Understand the meaning of the equal sign, and determine if equations involving addition and subtraction are true or false. For example, which of the following equations are true and which are false? 6 = 6, 7 = 8 - 1, 5 + 2 = 2 + 5, 4 + 1 = 5 + 2.","http://corestandards.org/Math/Content/1/OA/D/7/","Operations & Algebraic Thinking","OA","OA.D.7"
"01","Algebra, Geometry, Trig, Calculus & Higher Level Thinking","AGTC&HLT","1.OA.D.8","Determine the unknown whole number in an addition or subtraction equation relating three whole numbers. <i>For example, determine the unknown number that makes the equation true in each of the equations 8 + ? = 11, 5 = _ - 3, 6 + 6 = _</i>.","http://corestandards.org/Math/Content/1/OA/D/8/","Operations & Algebraic Thinking","OA","OA.D.8"
"02","Algebra, Geometry, Trig, Calculus & Higher Level Thinking","AGTC&HLT","2.G.A.1","Recognize and draw shapes having specified attributes, such as a given number of angles or a given number of equal faces.<sup>1</sup> Identify triangles, quadrilaterals, pentagons, hexagons, and cubes.","http://corestandards.org/Math/Content/2/G/A/1/","Geometry","G","G.A.1"
"02","Algebra, Geometry, Trig, Calculus & Higher Level Thinking","AGTC&HLT","2.G.A.2","Partition a rectangle into rows and columns of same-size squares and count to find the total number of them.","http://corestandards.org/Math/Content/2/G/A/2/","Geometry","G","G.A.2"
"02","Algebra, Geometry, Trig, Calculus & Higher Level Thinking","AGTC&HLT","2.G.A.3","Partition circles and rectangles into two, three, or four equal shares, describe the shares using the words halves, thirds, half of, a third of, etc., and describe the whole as two halves, three thirds, four fourths. Recognize that equal shares of identical wholes need not have the same shape.","http://corestandards.org/Math/Content/2/G/A/3/","Geometry","G","G.A.3"
"02","Measurement, Data, Probability & Statistics","MDP&S","2.MD.A.1","Measure the length of an object by selecting and using appropriate tools such as rulers, yardsticks, meter sticks, and measuring tapes.","http://corestandards.org/Math/Content/2/MD/A/1/","Measurement & Data","MD","MD.A.1"
"02","Measurement, Data, Probability & Statistics","MDP&S","2.MD.A.2","Measure the length of an object twice, using length units of different lengths for the two measurements; describe how the two measurements relate to the size of the unit chosen.","http://corestandards.org/Math/Content/2/MD/A/2/","Measurement & Data","MD","MD.A.2"
"02","Measurement, Data, Probability & Statistics","MDP&S","2.MD.A.3","Estimate lengths using units of inches, feet, centimeters, and meters.","http://corestandards.org/Math/Content/2/MD/A/3/","Measurement & Data","MD","MD.A.3"
"02","Measurement, Data, Probability & Statistics","MDP&S","2.MD.A.4","Measure to determine how much longer one object is than another, expressing the length difference in terms of a standard length unit.","http://corestandards.org/Math/Content/2/MD/A/4/","Measurement & Data","MD","MD.A.4"
"02","Measurement, Data, Probability & Statistics","MDP&S","2.MD.B.5","Use addition and subtraction within 100 to solve word problems involving lengths that are given in the same units, e.g., by using drawings (such as drawings of rulers) and equations with a symbol for the unknown number to represent the problem.","http://corestandards.org/Math/Content/2/MD/B/5/","Measurement & Data","MD","MD.B.5"
"02","Measurement, Data, Probability & Statistics","MDP&S","2.MD.B.6","Represent whole numbers as lengths from 0 on a number line diagram with equally spaced points corresponding to the numbers 0, 1, 2, ..., and represent whole-number sums and differences within 100 on a number line diagram.","http://corestandards.org/Math/Content/2/MD/B/6/","Measurement & Data","MD","MD.B.6"
"02","Measurement, Data, Probability & Statistics","MDP&S","2.MD.C.7","Tell and write time from analog and digital clocks to the nearest five minutes, using a.m. and p.m.","http://corestandards.org/Math/Content/2/MD/C/7/","Measurement & Data","MD","MD.C.7"
"02","Measurement, Data, Probability & Statistics","MDP&S","2.MD.C.8","Solve word problems involving dollar bills, quarters, dimes, nickels, and pennies, using $ and &cent; symbols appropriately. Example: If you have 2 dimes and 3 pennies, how many cents do you have?","http://corestandards.org/Math/Content/2/MD/C/8/","Measurement & Data","MD","MD.C.8"
"02","Measurement, Data, Probability & Statistics","MDP&S","2.MD.D.9","Generate measurement data by measuring lengths of several objects to the nearest whole unit, or by making repeated measurements of the same object. Show the measurements by making a line plot, where the horizontal scale is marked off in whole-number units.","http://corestandards.org/Math/Content/2/MD/D/9/","Measurement & Data","MD","MD.D.9"
"02","Measurement, Data, Probability & Statistics","MDP&S","2.MD.D.10","Draw a picture graph and a bar graph (with single-unit scale) to represent a data set with up to four categories. Solve simple put-together, take-apart, and compare problems<sup>1</sup> using information presented in a bar graph.","http://corestandards.org/Math/Content/2/MD/D/10/","Measurement & Data","MD","MD.D.10"
"02","Number Systems, Operations & Abstract Representation","NSO&AR","2.NBT.A.1","Understand that the three digits of a three-digit number represent amounts of hundreds, tens, and ones; e.g., 706 equals 7 hundreds, 0 tens, and 6 ones. Understand the following as special cases:","http://corestandards.org/Math/Content/2/NBT/A/1/","Numbers & Operations Base 10","NBT","NBT.A.1"
"02","Number Systems, Operations & Abstract Representation","NSO&AR","2.NBT.A.1a","100 can be thought of as a bundle of ten tens &mdash; called a ""hundred.""","http://corestandards.org/Math/Content/2/NBT/A/1/a/","Numbers & Operations Base 10","NBT","NBT.A.1a"
"02","Number Systems, Operations & Abstract Representation","NSO&AR","2.NBT.A.1b","The numbers 100, 200, 300, 400, 500, 600, 700, 800, 900 refer to one, two, three, four, five, six, seven, eight, or nine hundreds (and 0 tens and 0 ones).","http://corestandards.org/Math/Content/2/NBT/A/1/b/","Numbers & Operations Base 10","NBT","NBT.A.1b"
"02","Number Systems, Operations & Abstract Representation","NSO&AR","2.NBT.A.2","Count within 1000; skip-count by 5s, 10s, and 100s.","http://corestandards.org/Math/Content/2/NBT/A/2/","Numbers & Operations Base 10","NBT","NBT.A.2"
"02","Number Systems, Operations & Abstract Representation","NSO&AR","2.NBT.A.3","Read and write numbers to 1000 using base-ten numerals, number names, and expanded form.","http://corestandards.org/Math/Content/2/NBT/A/3/","Numbers & Operations Base 10","NBT","NBT.A.3"
"02","Number Systems, Operations & Abstract Representation","NSO&AR","2.NBT.A.4","Compare two three-digit numbers based on meanings of the hundreds, tens, and ones digits, using &gt;, =, and &lt; symbols to record the results of comparisons.","http://corestandards.org/Math/Content/2/NBT/A/4/","Numbers & Operations Base 10","NBT","NBT.A.4"
"02","Number Systems, Operations & Abstract Representation","NSO&AR","2.NBT.B.5","Fluently add and subtract within 100 using strategies based on place value, properties of operations, and/or the relationship between addition and subtraction.","http://corestandards.org/Math/Content/2/NBT/B/5/","Numbers & Operations Base 10","NBT","NBT.B.5"
"02","Number Systems, Operations & Abstract Representation","NSO&AR","2.NBT.B.6","Add up to four two-digit numbers using strategies based on place value and properties of operations.","http://corestandards.org/Math/Content/2/NBT/B/6/","Numbers & Operations Base 10","NBT","NBT.B.6"
"02","Number Systems, Operations & Abstract Representation","NSO&AR","2.NBT.B.7","Add and subtract within 1000, using concrete models or drawings and strategies based on place value, properties of operations, and/or the relationship between addition and subtraction; relate the strategy to a written method. Understand that in adding or subtracting three-digit numbers, one adds or subtracts hundreds and hundreds, tens and tens, ones and ones; and sometimes it is necessary to compose or decompose tens or hundreds.","http://corestandards.org/Math/Content/2/NBT/B/7/","Numbers & Operations Base 10","NBT","NBT.B.7"
"02","Number Systems, Operations & Abstract Representation","NSO&AR","2.NBT.B.8","Mentally add 10 or 100 to a given number 100-900, and mentally subtract 10 or 100 from a given number 100-900.","http://corestandards.org/Math/Content/2/NBT/B/8/","Numbers & Operations Base 10","NBT","NBT.B.8"
"02","Number Systems, Operations & Abstract Representation","NSO&AR","2.NBT.B.9","Explain why addition and subtraction strategies work, using place value and the properties of operations.<sup>1</sup>","http://corestandards.org/Math/Content/2/NBT/B/9/","Numbers & Operations Base 10","NBT","NBT.B.9"
"02","Algebra, Geometry, Trig, Calculus & Higher Level Thinking","AGTC&HLT","2.OA.A.1","Use addition and subtraction within 100 to solve one- and two-step word problems involving situations of adding to, taking from, putting together, taking apart, and comparing, with unknowns in all positions, e.g., by using drawings and equations with a symbol for the unknown number to represent the problem.<sup>1</sup>","http://corestandards.org/Math/Content/2/OA/A/1/","Operations & Algebraic Thinking","OA","OA.A.1"
"02","Algebra, Geometry, Trig, Calculus & Higher Level Thinking","AGTC&HLT","2.OA.B.2","Fluently add and subtract within 20 using mental strategies.<sup>2</sup> By end of Grade 2, know from memory all sums of two one-digit numbers.","http://corestandards.org/Math/Content/2/OA/B/2/","Operations & Algebraic Thinking","OA","OA.B.2"
"02","Algebra, Geometry, Trig, Calculus & Higher Level Thinking","AGTC&HLT","2.OA.C.3","Determine whether a group of objects (up to 20) has an odd or even number of members, e.g., by pairing objects or counting them by 2s; write an equation to express an even number as a sum of two equal addends.","http://corestandards.org/Math/Content/2/OA/C/3/","Operations & Algebraic Thinking","OA","OA.C.3"
"02","Algebra, Geometry, Trig, Calculus & Higher Level Thinking","AGTC&HLT","2.OA.C.4","Use addition to find the total number of objects arranged in rectangular arrays with up to 5 rows and up to 5 columns; write an equation to express the total as a sum of equal addends.","http://corestandards.org/Math/Content/2/OA/C/4/","Operations & Algebraic Thinking","OA","OA.C.4"
"03","Algebra, Geometry, Trig, Calculus & Higher Level Thinking","AGTC&HLT","3.G.A.1","Understand that shapes in different categories (e.g., rhombuses, rectangles, and others) may share attributes (e.g., having four sides), and that the shared attributes can define a larger category (e.g., quadrilaterals). Recognize rhombuses, rectangles, and squares as examples of quadrilaterals, and draw examples of quadrilaterals that do not belong to any of these subcategories.","http://corestandards.org/Math/Content/3/G/A/1/","Geometry","G","G.A.1"
"03","Algebra, Geometry, Trig, Calculus & Higher Level Thinking","AGTC&HLT","3.G.A.2","Partition shapes into parts with equal areas. Express the area of each part as a unit fraction of the whole. <i>For example, partition a shape into 4 parts with equal area, and describe the area of each part as 1/4 of the area of the shape</i>.","http://corestandards.org/Math/Content/3/G/A/2/","Geometry","G","G.A.2"
"03","Measurement, Data, Probability & Statistics","MDP&S","3.MD.A.1","Tell and write time to the nearest minute and measure time intervals in minutes. Solve word problems involving addition and subtraction of time intervals in minutes, e.g., by representing the problem on a number line diagram.","http://corestandards.org/Math/Content/3/MD/A/1/","Measurement & Data","MD","MD.A.1"
"03","Measurement, Data, Probability & Statistics","MDP&S","3.MD.A.2","Measure and estimate liquid volumes and masses of objects using standard units of grams (g), kilograms (kg), and liters (l).<sup>1</sup> Add, subtract, multiply, or divide to solve one-step word problems involving masses or volumes that are given in the same units, e.g., by using drawings (such as a beaker with a measurement scale) to represent the problem.<sup>2</sup>","http://corestandards.org/Math/Content/3/MD/A/2/","Measurement & Data","MD","MD.A.2"
"03","Measurement, Data, Probability & Statistics","MDP&S","3.MD.B.3","Draw a scaled picture graph and a scaled bar graph to represent a data set with several categories. Solve one- and two-step ""how many more"" and ""how many less"" problems using information presented in scaled bar graphs. <i>For example, draw a bar graph in which each square in the bar graph might represent 5 pets</i>.","http://corestandards.org/Math/Content/3/MD/B/3/","Measurement & Data","MD","MD.B.3"
"03","Measurement, Data, Probability & Statistics","MDP&S","3.MD.B.4","Generate measurement data by measuring lengths using rulers marked with halves and fourths of an inch. Show the data by making a line plot, where the horizontal scale is marked off in appropriate units&mdash; whole numbers, halves, or quarters.","http://corestandards.org/Math/Content/3/MD/B/4/","Measurement & Data","MD","MD.B.4"
"03","Measurement, Data, Probability & Statistics","MDP&S","3.MD.C.5","Recognize area as an attribute of plane figures and understand concepts of area measurement.","http://corestandards.org/Math/Content/3/MD/C/5/","Measurement & Data","MD","MD.C.5"
"03","Measurement, Data, Probability & Statistics","MDP&S","3.MD.C.5a","A square with side length 1 unit, called ""a unit square,"" is said to have ""one square unit"" of area, and can be used to measure area.","http://corestandards.org/Math/Content/3/MD/C/5/a/","Measurement & Data","MD","MD.C.5a"
"03","Measurement, Data, Probability & Statistics","MDP&S","3.MD.C.5b","A plane figure which can be covered without gaps or overlaps by <i>n</i> unit squares is said to have an area of <i>n</i> square units.","http://corestandards.org/Math/Content/3/MD/C/5/b/","Measurement & Data","MD","MD.C.5b"
"03","Measurement, Data, Probability & Statistics","MDP&S","3.MD.C.6","Measure areas by counting unit squares (square cm, square m, square in, square ft, and improvised units).","http://corestandards.org/Math/Content/3/MD/C/6/","Measurement & Data","MD","MD.C.6"
"03","Measurement, Data, Probability & Statistics","MDP&S","3.MD.C.7","Relate area to the operations of multiplication and addition.","http://corestandards.org/Math/Content/3/MD/C/7/","Measurement & Data","MD","MD.C.7"
"03","Measurement, Data, Probability & Statistics","MDP&S","3.MD.C.7a","Find the area of a rectangle with whole-number side lengths by tiling it, and show that the area is the same as would be found by multiplying the side lengths.","http://corestandards.org/Math/Content/3/MD/C/7/a/","Measurement & Data","MD","MD.C.7a"
"03","Measurement, Data, Probability & Statistics","MDP&S","3.MD.C.7b","Multiply side lengths to find areas of rectangles with whole-number side lengths in the context of solving real world and mathematical problems, and represent whole-number products as rectangular areas in mathematical reasoning.","http://corestandards.org/Math/Content/3/MD/C/7/b/","Measurement & Data","MD","MD.C.7b"
"03","Measurement, Data, Probability & Statistics","MDP&S","3.MD.C.7c","Use tiling to show in a concrete case that the area of a rectangle with whole-number side lengths <i>a</i> and <i>b</i> + <i>c</i> is the sum of <i>a</i> &times; <i>b</i> and <i>a</i> &times; <i>c</i>. Use area models to represent the distributive property in mathematical reasoning.","http://corestandards.org/Math/Content/3/MD/C/7/c/","Measurement & Data","MD","MD.C.7c"
