"code","set","dim","grade","statement","dimension","orig_dimension","orig_dim","subject","link","code2","subcategory","subcat","PEcode","performanceExpectation","clarifyingStatement","assessmentBoundary","goal"
"D2.Civ.2.3-5","C3","CEGH","3,4,5","Explain how a democracy relies on people’s responsible participation, and draw implications for how individuals should participate.","Civics, Economics, Geography & History","Applying Disciplinary Concepts & Tools","ADCT","Social Studies",NA,NA,NA,NA,NA,NA,NA,NA,NA
"D2.Civ.2.6-8","C3","CEGH","6,7,8","Explain specific roles played by citizens (such as voters, jurors, taxpayers, members of the armed forces, petitioners, protesters, and office-holders).","Civics, Economics, Geography & History","Applying Disciplinary Concepts & Tools","ADCT","Social Studies",NA,NA,NA,NA,NA,NA,NA,NA,NA
"D2.Civ.2.9-12","C3","CEGH","9,10,11,12","Analyze the role of citizens in the U.S","Civics, Economics, Geography & History","Applying Disciplinary Concepts & Tools","ADCT","Social Studies",NA,NA,NA,NA,NA,NA,NA,NA,NA
"D2.Civ.2.K-2","C3","CEGH","K,1,2","Explain how all people, not just official leaders, play important roles in a community.","Civics, Economics, Geography & History","Applying Disciplinary Concepts & Tools","ADCT","Social Studies",NA,NA,NA,NA,NA,NA,NA,NA,NA
"D2.Civ.3.3-5","C3","CEGH","3,4,5","Examine the origins and purposes of rules, laws, and key U.S","Civics, Economics, Geography & History","Applying Disciplinary Concepts & Tools","ADCT","Social Studies",NA,NA,NA,NA,NA,NA,NA,NA,NA
"D2.Civ.3.6-8","C3","CEGH","6,7,8","Examine the origins, purposes, and impact of constitutions, laws, treaties, and international agreements.","Civics, Economics, Geography & History","Applying Disciplinary Concepts & Tools","ADCT","Social Studies",NA,NA,NA,NA,NA,NA,NA,NA,NA
"D2.Civ.3.9-12","C3","CEGH","9,10,11,12","Analyze the impact of constitutions, laws, treaties, and international agreements on the maintenance of national and international order.","Civics, Economics, Geography & History","Applying Disciplinary Concepts & Tools","ADCT","Social Studies",NA,NA,NA,NA,NA,NA,NA,NA,NA
"D2.Civ.3.K-2","C3","CEGH","K,1,2","Explain the need for and purposes of rules in various settings inside and outside of school.","Civics, Economics, Geography & History","Applying Disciplinary Concepts & Tools","ADCT","Social Studies",NA,NA,NA,NA,NA,NA,NA,NA,NA
"D2.Civ.4.3-5","C3","CEGH","3,4,5","Explain how groups of people make rules to create responsibilities and protect freedoms.","Civics, Economics, Geography & History","Applying Disciplinary Concepts & Tools","ADCT","Social Studies",NA,NA,NA,NA,NA,NA,NA,NA,NA
"D2.Civ.4.6-8","C3","CEGH","6,7,8","Explain the powers and limits of the three branches of government, public officials, and bureaucracies at different levels in the United States and in other countries.","Civics, Economics, Geography & History","Applying Disciplinary Concepts & Tools","ADCT","Social Studies",NA,NA,NA,NA,NA,NA,NA,NA,NA
"D2.Civ.4.9-12","C3","CEGH","9,10,11,12","Explain how the U.S","Civics, Economics, Geography & History","Applying Disciplinary Concepts & Tools","ADCT","Social Studies",NA,NA,NA,NA,NA,NA,NA,NA,NA
"D2.Civ.4.K-2","C3","CEGH","K,1,2","Begins in grades 3–5","Civics, Economics, Geography & History","Applying Disciplinary Concepts & Tools","ADCT","Social Studies",NA,NA,NA,NA,NA,NA,NA,NA,NA
"D2.Civ.5.3-5","C3","CEGH","3,4,5","Explain the origins, functions, and structure of different systems of government, including those created by the U.S","Civics, Economics, Geography & History","Applying Disciplinary Concepts & Tools","ADCT","Social Studies",NA,NA,NA,NA,NA,NA,NA,NA,NA
"D2.Civ.5.6-8","C3","CEGH","6,7,8","Explain the origins, functions, and structure of government with reference to the U.S","Civics, Economics, Geography & History","Applying Disciplinary Concepts & Tools","ADCT","Social Studies",NA,NA,NA,NA,NA,NA,NA,NA,NA
"D2.Civ.5.9-12","C3","CEGH","9,10,11,12","Evaluate citizens’ and institutions’ effectiveness in addressing social and political problems at the local, state, tribal, national, and/or international level.","Civics, Economics, Geography & History","Applying Disciplinary Concepts & Tools","ADCT","Social Studies",NA,NA,NA,NA,NA,NA,NA,NA,NA
"D2.Civ.5.K-2","C3","CEGH","K,1,2","Explain what governments are and some of their functions.","Civics, Economics, Geography & History","Applying Disciplinary Concepts & Tools","ADCT","Social Studies",NA,NA,NA,NA,NA,NA,NA,NA,NA
"D2.Civ.6.3-5","C3","CEGH","3,4,5","Describe ways in which people benefit from and are challenged by working together, including through government, workplaces, voluntary organizations, and families.","Civics, Economics, Geography & History","Applying Disciplinary Concepts & Tools","ADCT","Social Studies",NA,NA,NA,NA,NA,NA,NA,NA,NA
"D2.Civ.6.6-8","C3","CEGH","6,7,8","Describe the roles of political, civil, and economic organizations in shaping people’s lives.","Civics, Economics, Geography & History","Applying Disciplinary Concepts & Tools","ADCT","Social Studies",NA,NA,NA,NA,NA,NA,NA,NA,NA
"D2.Civ.6.9-12","C3","CEGH","9,10,11,12","Critique relationships among governments, civil societies, and economic markets.","Civics, Economics, Geography & History","Applying Disciplinary Concepts & Tools","ADCT","Social Studies",NA,NA,NA,NA,NA,NA,NA,NA,NA
"D2.Civ.6.K-2","C3","CEGH","K,1,2","Describe how communities work to accomplish common tasks, establish responsibilities, and fulfill roles of authority.","Civics, Economics, Geography & History","Applying Disciplinary Concepts & Tools","ADCT","Social Studies",NA,NA,NA,NA,NA,NA,NA,NA,NA
"D2.Civ.7.3-5","C3","CEGH","3,4,5","Apply civic virtues and democratic principles in school settings.","Civics, Economics, Geography & History","Applying Disciplinary Concepts & Tools","ADCT","Social Studies",NA,NA,NA,NA,NA,NA,NA,NA,NA
"D2.Civ.7.6-8","C3","CEGH","6,7,8","Apply civic virtues and democratic principles in school and community settings.","Civics, Economics, Geography & History","Applying Disciplinary Concepts & Tools","ADCT","Social Studies",NA,NA,NA,NA,NA,NA,NA,NA,NA
"D2.Civ.7.9-12","C3","CEGH","9,10,11,12","Apply civic virtues and democratic principles when working with others.","Civics, Economics, Geography & History","Applying Disciplinary Concepts & Tools","ADCT","Social Studies",NA,NA,NA,NA,NA,NA,NA,NA,NA
"D2.Civ.7.K-2","C3","CEGH","K,1,2","Apply civic virtues when participating in school settings.","Civics, Economics, Geography & History","Applying Disciplinary Concepts & Tools","ADCT","Social Studies",NA,NA,NA,NA,NA,NA,NA,NA,NA
"D2.Civ.8.3-5","C3","CEGH","3,4,5","Identify core civic virtues and democratic principles that guide government, society, and communities.","Civics, Economics, Geography & History","Applying Disciplinary Concepts & Tools","ADCT","Social Studies",NA,NA,NA,NA,NA,NA,NA,NA,NA
"D2.Civ.8.6-8","C3","CEGH","6,7,8","Analyze ideas and principles contained in the founding documents of the United States, and explain how they influence the social and political system.","Civics, Economics, Geography & History","Applying Disciplinary Concepts & Tools","ADCT","Social Studies",NA,NA,NA,NA,NA,NA,NA,NA,NA
"D2.Civ.8.9-12","C3","CEGH","9,10,11,12","Evaluate social and political systems in different contexts, times, and places, that promote civic virtues and enact democratic principles.","Civics, Economics, Geography & History","Applying Disciplinary Concepts & Tools","ADCT","Social Studies",NA,NA,NA,NA,NA,NA,NA,NA,NA
"D2.Civ.8.K-2","C3","CEGH","K,1,2","Describe democratic principles such as equality, fairness, and respect for legitimate authority and rules.","Civics, Economics, Geography & History","Applying Disciplinary Concepts & Tools","ADCT","Social Studies",NA,NA,NA,NA,NA,NA,NA,NA,NA
"D2.Civ.9.3-5","C3","CEGH","3,4,5","Use deliberative processes when making decisions or reaching judgments as a group.","Civics, Economics, Geography & History","Applying Disciplinary Concepts & Tools","ADCT","Social Studies",NA,NA,NA,NA,NA,NA,NA,NA,NA
"D2.Civ.9.6-8","C3","CEGH","6,7,8","Compare deliberative processes used by a wide variety of groups in various settings.","Civics, Economics, Geography & History","Applying Disciplinary Concepts & Tools","ADCT","Social Studies",NA,NA,NA,NA,NA,NA,NA,NA,NA
"D2.Civ.9.9-12","C3","CEGH","9,10,11,12","Use appropriate deliberative processes in multiple settings.","Civics, Economics, Geography & History","Applying Disciplinary Concepts & Tools","ADCT","Social Studies",NA,NA,NA,NA,NA,NA,NA,NA,NA
"D2.Civ.9.K-2","C3","CEGH","K,1,2","Follow agreed-upon rules for discussions while responding attentively to others when addressing ideas and making decisions as a group.","Civics, Economics, Geography & History","Applying Disciplinary Concepts & Tools","ADCT","Social Studies",NA,NA,NA,NA,NA,NA,NA,NA,NA
"D2.Eco.1.3-5","C3","CEGH","3,4,5","Compare the benefits and costs of individual choices.","Civics, Economics, Geography & History","Applying Disciplinary Concepts & Tools","ADCT","Social Studies",NA,NA,NA,NA,NA,NA,NA,NA,NA
"D2.Eco.1.6-8","C3","CEGH","6,7,8","Explain how economic decisions affect the well-being of individuals, businesses, and society.","Civics, Economics, Geography & History","Applying Disciplinary Concepts & Tools","ADCT","Social Studies",NA,NA,NA,NA,NA,NA,NA,NA,NA
"D2.Eco.1.9-12","C3","CEGH","9,10,11,12","Analyze how incentives influence choices that may result in policies with a range of costs and benefits for different groups.","Civics, Economics, Geography & History","Applying Disciplinary Concepts & Tools","ADCT","Social Studies",NA,NA,NA,NA,NA,NA,NA,NA,NA
"D2.Eco.1.K-2","C3","CEGH","K,1,2","Explain how scarcity necessitates decision making.","Civics, Economics, Geography & History","Applying Disciplinary Concepts & Tools","ADCT","Social Studies",NA,NA,NA,NA,NA,NA,NA,NA,NA
"D2.Eco.10.3-5","C3","CEGH","3,4,5","Explain what interest rates are.","Civics, Economics, Geography & History","Applying Disciplinary Concepts & Tools","ADCT","Social Studies",NA,NA,NA,NA,NA,NA,NA,NA,NA
"D2.Eco.10.6-8","C3","CEGH","6,7,8","Explain the influence of changes in interest rates on borrowing and investing.","Civics, Economics, Geography & History","Applying Disciplinary Concepts & Tools","ADCT","Social Studies",NA,NA,NA,NA,NA,NA,NA,NA,NA
"D2.Eco.10.9-12","C3","CEGH","9,10,11,12","Use current data to explain the influence of changes in spending, production, and the money supply on various economic conditions.","Civics, Economics, Geography & History","Applying Disciplinary Concepts & Tools","ADCT","Social Studies",NA,NA,NA,NA,NA,NA,NA,NA,NA
"D2.Eco.10.K-2","C3","CEGH","K,1,2","Explain why people save.","Civics, Economics, Geography & History","Applying Disciplinary Concepts & Tools","ADCT","Social Studies",NA,NA,NA,NA,NA,NA,NA,NA,NA
"D2.Eco.11.3-5","C3","CEGH","3,4,5","Explain the meaning of inflation, deflation, and unemployment.","Civics, Economics, Geography & History","Applying Disciplinary Concepts & Tools","ADCT","Social Studies",NA,NA,NA,NA,NA,NA,NA,NA,NA
"D2.Eco.11.6-8","C3","CEGH","6,7,8","Use appropriate data to evaluate the state of employment, unemployment, inflation, total production, income, and economic growth in the economy.","Civics, Economics, Geography & History","Applying Disciplinary Concepts & Tools","ADCT","Social Studies",NA,NA,NA,NA,NA,NA,NA,NA,NA
"D2.Eco.11.9-12","C3","CEGH","9,10,11,12","Use economic indicators to analyze the current and future state of the economy.","Civics, Economics, Geography & History","Applying Disciplinary Concepts & Tools","ADCT","Social Studies",NA,NA,NA,NA,NA,NA,NA,NA,NA
"D2.Eco.12.3-5","C3","CEGH","3,4,5","Explain the ways in which the government pays for the goods and services it provides.","Civics, Economics, Geography & History","Applying Disciplinary Concepts & Tools","ADCT","Social Studies",NA,NA,NA,NA,NA,NA,NA,NA,NA
"D2.Eco.12.6-8","C3","CEGH","6,7,8","Explain how inflation, deflation, and unemployment affect different groups.","Civics, Economics, Geography & History","Applying Disciplinary Concepts & Tools","ADCT","Social Studies",NA,NA,NA,NA,NA,NA,NA,NA,NA
"D2.Eco.12.9-12","C3","CEGH","9,10,11,12","Evaluate the selection of monetary and fiscal policies in a variety of economic conditions.","Civics, Economics, Geography & History","Applying Disciplinary Concepts & Tools","ADCT","Social Studies",NA,NA,NA,NA,NA,NA,NA,NA,NA
"D2.Eco.12.K-2","C3","CEGH","K,1,2","Describe examples of the goods and services that governments provide.","Civics, Economics, Geography & History","Applying Disciplinary Concepts & Tools","ADCT","Social Studies",NA,NA,NA,NA,NA,NA,NA,NA,NA
"D2.Eco.13.3-5","C3","CEGH","3,4,5","Describe ways people can increase productivity by using improved capital goods and improving their human capital.","Civics, Economics, Geography & History","Applying Disciplinary Concepts & Tools","ADCT","Social Studies",NA,NA,NA,NA,NA,NA,NA,NA,NA
"D2.Eco.13.6-8","C3","CEGH","6,7,8","Explain why standards of living increase as productivity improves.","Civics, Economics, Geography & History","Applying Disciplinary Concepts & Tools","ADCT","Social Studies",NA,NA,NA,NA,NA,NA,NA,NA,NA
"D2.Eco.13.9-12","C3","CEGH","9,10,11,12","Explain why advancements in technology and investments in capital goods and human capital increase economic growth and standards of living.","Civics, Economics, Geography & History","Applying Disciplinary Concepts & Tools","ADCT","Social Studies",NA,NA,NA,NA,NA,NA,NA,NA,NA
"D2.Eco.13.K-2","C3","CEGH","K,1,2","Describe examples of capital goods and human capital.","Civics, Economics, Geography & History","Applying Disciplinary Concepts & Tools","ADCT","Social Studies",NA,NA,NA,NA,NA,NA,NA,NA,NA
"D2.Eco.14.3-5","C3","CEGH","3,4,5","Explain how trade leads to increasing economic interdependence among nations.","Civics, Economics, Geography & History","Applying Disciplinary Concepts & Tools","ADCT","Social Studies",NA,NA,NA,NA,NA,NA,NA,NA,NA
"D2.Eco.14.6-8","C3","CEGH","6,7,8","Explain barriers to trade and how those barriers influence trade among nations.","Civics, Economics, Geography & History","Applying Disciplinary Concepts & Tools","ADCT","Social Studies",NA,NA,NA,NA,NA,NA,NA,NA,NA
"D2.Eco.14.9-12","C3","CEGH","9,10,11,12","Analyze the role of comparative advantage in international trade of goods and services.","Civics, Economics, Geography & History","Applying Disciplinary Concepts & Tools","ADCT","Social Studies",NA,NA,NA,NA,NA,NA,NA,NA,NA
"D2.Eco.14.K-2","C3","CEGH","K,1,2","Describe why people in one country trade goods and services with people in other countries.","Civics, Economics, Geography & History","Applying Disciplinary Concepts & Tools","ADCT","Social Studies",NA,NA,NA,NA,NA,NA,NA,NA,NA
"D2.Eco.15.3-5","C3","CEGH","3,4,5","Explain the effects of increasing economic interdependence on different groups within participating nations.","Civics, Economics, Geography & History","Applying Disciplinary Concepts & Tools","ADCT","Social Studies",NA,NA,NA,NA,NA,NA,NA,NA,NA
"D2.Eco.15.6-8","C3","CEGH","6,7,8","Explain the benefits and the costs of trade policies to individuals, businesses, and society.","Civics, Economics, Geography & History","Applying Disciplinary Concepts & Tools","ADCT","Social Studies",NA,NA,NA,NA,NA,NA,NA,NA,NA
"D2.Eco.15.9-12","C3","CEGH","9,10,11,12","Explain how current globalization trends and policies affect economic growth, labor markets, rights of citizens, the environment, and resource and income distribution in different nations.","Civics, Economics, Geography & History","Applying Disciplinary Concepts & Tools","ADCT","Social Studies",NA,NA,NA,NA,NA,NA,NA,NA,NA
"D2.Eco.15.K-2","C3","CEGH","K,1,2","Describe products that are produced abroad and sold domestically and products that are produced domestically and sold abroad.","Civics, Economics, Geography & History","Applying Disciplinary Concepts & Tools","ADCT","Social Studies",NA,NA,NA,NA,NA,NA,NA,NA,NA
"D2.Eco.2.3-5","C3","CEGH","3,4,5","Identify positive and negative incentives that influence the decisions people make.","Civics, Economics, Geography & History","Applying Disciplinary Concepts & Tools","ADCT","Social Studies",NA,NA,NA,NA,NA,NA,NA,NA,NA
"D2.Eco.2.6-8","C3","CEGH","6,7,8","Evaluate alternative approaches or solutions to current economic issues in terms of benefits and costs for different groups and society as a whole.","Civics, Economics, Geography & History","Applying Disciplinary Concepts & Tools","ADCT","Social Studies",NA,NA,NA,NA,NA,NA,NA,NA,NA
"D2.Eco.2.9-12","C3","CEGH","9,10,11,12","Use marginal benefits and marginal costs to construct an argument for or against an approach or solution to an economic issue.","Civics, Economics, Geography & History","Applying Disciplinary Concepts & Tools","ADCT","Social Studies",NA,NA,NA,NA,NA,NA,NA,NA,NA
"D2.Eco.2.K-2","C3","CEGH","K,1,2","Identify the benefits and costs of making various personal decisions.","Civics, Economics, Geography & History","Applying Disciplinary Concepts & Tools","ADCT","Social Studies",NA,NA,NA,NA,NA,NA,NA,NA,NA
"D2.Eco.3.3-5","C3","CEGH","3,4,5","Identify examples of the variety of resources (human capital, physical capital, and natural resources) that are used to produce goods and services.","Civics, Economics, Geography & History","Applying Disciplinary Concepts & Tools","ADCT","Social Studies",NA,NA,NA,NA,NA,NA,NA,NA,NA
"D2.Eco.3.6-8","C3","CEGH","6,7,8","Explain the roles of buyers and sellers in product, labor, and financial markets.","Civics, Economics, Geography & History","Applying Disciplinary Concepts & Tools","ADCT","Social Studies",NA,NA,NA,NA,NA,NA,NA,NA,NA
"D2.Eco.3.9-12","C3","CEGH","9,10,11,12","Analyze the ways in which incentives influence what is produced and distributed in a market system.","Civics, Economics, Geography & History","Applying Disciplinary Concepts & Tools","ADCT","Social Studies",NA,NA,NA,NA,NA,NA,NA,NA,NA
"D2.Eco.3.K-2","C3","CEGH","K,1,2","Describe the skills and knowledge required to produce certain goods and services.","Civics, Economics, Geography & History","Applying Disciplinary Concepts & Tools","ADCT","Social Studies",NA,NA,NA,NA,NA,NA,NA,NA,NA
"D2.Eco.4.3-5","C3","CEGH","3,4,5","Explain why individuals and businesses specialize and trade.","Civics, Economics, Geography & History","Applying Disciplinary Concepts & Tools","ADCT","Social Studies",NA,NA,NA,NA,NA,NA,NA,NA,NA
"D2.Eco.4.6-8","C3","CEGH","6,7,8","Describe the role of competition in the determination of prices and wages in a market economy.","Civics, Economics, Geography & History","Applying Disciplinary Concepts & Tools","ADCT","Social Studies",NA,NA,NA,NA,NA,NA,NA,NA,NA
"D2.Eco.4.9-12","C3","CEGH","9,10,11,12","Evaluate the extent to which competition among sellers and among buyers exists in specific markets.","Civics, Economics, Geography & History","Applying Disciplinary Concepts & Tools","ADCT","Social Studies",NA,NA,NA,NA,NA,NA,NA,NA,NA
