"grade","dimension","dim","code","statement","link","orig_dimension","orig_dim"
"K,1,2,3,4,5,6,7,8,9,10,11,12","Reading","R","CCRA.R.10","Read and comprehend complex literary and informational texts independently and proficiently.","http://corestandards.org/ELA-Literacy/CCRA/R/10/","Reading","R"
"K,1,2,3,4,5,6,7,8,9,10,11,12","Language, Speaking & Listening","LS&L","CCRA.SL.1","Prepare for and participate effectively in a range of conversations and collaborations with diverse partners, building on others' ideas and expressing their own clearly and persuasively.","http://corestandards.org/ELA-Literacy/CCRA/SL/1/","Speaking & Listening","SL"
"K,1,2,3,4,5,6,7,8,9,10,11,12","Language, Speaking & Listening","LS&L","CCRA.SL.2","Integrate and evaluate information presented in diverse media and formats, including visually, quantitatively, and orally.","http://corestandards.org/ELA-Literacy/CCRA/SL/2/","Speaking & Listening","SL"
"K,1,2,3,4,5,6,7,8,9,10,11,12","Language, Speaking & Listening","LS&L","CCRA.SL.3","Evaluate a speaker's point of view, reasoning, and use of evidence and rhetoric.","http://corestandards.org/ELA-Literacy/CCRA/SL/3/","Speaking & Listening","SL"
"K,1,2,3,4,5,6,7,8,9,10,11,12","Language, Speaking & Listening","LS&L","CCRA.SL.4","Present information, findings, and supporting evidence such that listeners can follow the line of reasoning and the organization, development, and style are appropriate to task, purpose, and audience.","http://corestandards.org/ELA-Literacy/CCRA/SL/4/","Speaking & Listening","SL"
"K,1,2,3,4,5,6,7,8,9,10,11,12","Language, Speaking & Listening","LS&L","CCRA.SL.5","Make strategic use of digital media and visual displays of data to express information and enhance understanding of presentations.","http://corestandards.org/ELA-Literacy/CCRA/SL/5/","Speaking & Listening","SL"
"K,1,2,3,4,5,6,7,8,9,10,11,12","Language, Speaking & Listening","LS&L","CCRA.SL.6","Adapt speech to a variety of contexts and communicative tasks, demonstrating command of formal English when indicated or appropriate.","http://corestandards.org/ELA-Literacy/CCRA/SL/6/","Speaking & Listening","SL"
"K,1,2,3,4,5,6,7,8,9,10,11,12","Writing","W","CCRA.W.1","Write arguments to support claims in an analysis of substantive topics or texts using valid reasoning and relevant and sufficient evidence.","http://corestandards.org/ELA-Literacy/CCRA/W/1/","Writing","W"
"K,1,2,3,4,5,6,7,8,9,10,11,12","Writing","W","CCRA.W.2","Write informative/explanatory texts to examine and convey complex ideas and information clearly and accurately through the effective selection, organization, and analysis of content.","http://corestandards.org/ELA-Literacy/CCRA/W/2/","Writing","W"
"K,1,2,3,4,5,6,7,8,9,10,11,12","Writing","W","CCRA.W.3","Write narratives to develop real or imagined experiences or events using effective technique, well-chosen details and well-structured event sequences.","http://corestandards.org/ELA-Literacy/CCRA/W/3/","Writing","W"
"K,1,2,3,4,5,6,7,8,9,10,11,12","Writing","W","CCRA.W.4","Produce clear and coherent writing in which the development, organization, and style are appropriate to task, purpose, and audience.","http://corestandards.org/ELA-Literacy/CCRA/W/4/","Writing","W"
"K,1,2,3,4,5,6,7,8,9,10,11,12","Writing","W","CCRA.W.5","Develop and strengthen writing as needed by planning, revising, editing, rewriting, or trying a new approach.","http://corestandards.org/ELA-Literacy/CCRA/W/5/","Writing","W"
"K,1,2,3,4,5,6,7,8,9,10,11,12","Writing","W","CCRA.W.6","Use technology, including the Internet, to produce and publish writing and to interact and collaborate with others.","http://corestandards.org/ELA-Literacy/CCRA/W/6/","Writing","W"
"K,1,2,3,4,5,6,7,8,9,10,11,12","Writing","W","CCRA.W.7","Conduct short as well as more sustained research projects based on focused questions, demonstrating understanding of the subject under investigation.","http://corestandards.org/ELA-Literacy/CCRA/W/7/","Writing","W"
"K,1,2,3,4,5,6,7,8,9,10,11,12","Writing","W","CCRA.W.8","Gather relevant information from multiple print and digital sources, assess the credibility and accuracy of each source, and integrate the information while avoiding plagiarism.","http://corestandards.org/ELA-Literacy/CCRA/W/8/","Writing","W"
"K,1,2,3,4,5,6,7,8,9,10,11,12","Writing","W","CCRA.W.9","Draw evidence from literary or informational texts to support analysis, reflection, and research.","http://corestandards.org/ELA-Literacy/CCRA/W/9/","Writing","W"
"K,1,2,3,4,5,6,7,8,9,10,11,12","Writing","W","CCRA.W.10","Write routinely over extended time frames (time for research, reflection, and revision) and shorter time frames (a single sitting or a day or two) for a range of tasks, purposes, and audiences.","http://corestandards.org/ELA-Literacy/CCRA/W/10/","Writing","W"
"K","Language, Speaking & Listening","LS&L","L.K.1","Demonstrate command of the conventions of standard English grammar and usage when writing or speaking.","http://corestandards.org/ELA-Literacy/L/K/1/","Language","L"
"K","Language, Speaking & Listening","LS&L","L.K.1a","Print many upper- and lowercase letters.","http://corestandards.org/ELA-Literacy/L/K/1/a/","Language","L"
"K","Language, Speaking & Listening","LS&L","L.K.1b","Use frequently occurring nouns and verbs.","http://corestandards.org/ELA-Literacy/L/K/1/b/","Language","L"
"K","Language, Speaking & Listening","LS&L","L.K.1c","Form regular plural nouns orally by adding /s/ or /es/ (e.g., <em>dog, dogs; wish, wishes</em>).","http://corestandards.org/ELA-Literacy/L/K/1/c/","Language","L"
"K","Language, Speaking & Listening","LS&L","L.K.1d","Understand and use question words (interrogatives) (e.g., <em>who, what, where, when, why, how</em>).","http://corestandards.org/ELA-Literacy/L/K/1/d/","Language","L"
"K","Language, Speaking & Listening","LS&L","L.K.1e","Use the most frequently occurring prepositions (e.g., <em>to, from, in, out, on, off, for, of, by, with</em>).","http://corestandards.org/ELA-Literacy/L/K/1/e/","Language","L"
"K","Language, Speaking & Listening","LS&L","L.K.1f","Produce and expand complete sentences in shared language activities.","http://corestandards.org/ELA-Literacy/L/K/1/f/","Language","L"
"K","Language, Speaking & Listening","LS&L","L.K.2","Demonstrate command of the conventions of standard English capitalization, punctuation, and spelling when writing.","http://corestandards.org/ELA-Literacy/L/K/2/","Language","L"
"K","Language, Speaking & Listening","LS&L","L.K.2a","Capitalize the first word in a sentence and the pronoun <em>I</em>","http://corestandards.org/ELA-Literacy/L/K/2/a/","Language","L"
"K","Language, Speaking & Listening","LS&L","L.K.2b","Recognize and name end punctuation.","http://corestandards.org/ELA-Literacy/L/K/2/b/","Language","L"
"K","Language, Speaking & Listening","LS&L","L.K.2c","Write a letter or letters for most consonant and short-vowel sounds (phonemes).","http://corestandards.org/ELA-Literacy/L/K/2/c/","Language","L"
"K","Language, Speaking & Listening","LS&L","L.K.2d","Spell simple words phonetically, drawing on knowledge of sound-letter relationships.","http://corestandards.org/ELA-Literacy/L/K/2/d/","Language","L"
"K","Language, Speaking & Listening","LS&L","L.K.4","Determine or clarify the meaning of unknown and multiple-meaning words and phrases based on kindergarten reading and content.","http://corestandards.org/ELA-Literacy/L/K/4/","Language","L"
"K","Language, Speaking & Listening","LS&L","L.K.4a","Identify new meanings for familiar words and apply them accurately (e.g., knowing <em>duck</em> is a bird and learning the verb to <em>duck</em>).","http://corestandards.org/ELA-Literacy/L/K/4/a/","Language","L"
"K","Language, Speaking & Listening","LS&L","L.K.4b","Use the most frequently occurring inflections and affixes (e.g., <em>-ed, -s, re-, un-, pre-, -ful, -less</em>) as a clue to the meaning of an unknown word.","http://corestandards.org/ELA-Literacy/L/K/4/b/","Language","L"
"K","Language, Speaking & Listening","LS&L","L.K.5","With guidance and support from adults, explore word relationships and nuances in word meanings.","http://corestandards.org/ELA-Literacy/L/K/5/","Language","L"
"K","Language, Speaking & Listening","LS&L","L.K.5a","Sort common objects into categories (e.g., shapes, foods) to gain a sense of the concepts the categories represent.","http://corestandards.org/ELA-Literacy/L/K/5/a/","Language","L"
"K","Language, Speaking & Listening","LS&L","L.K.5b","Demonstrate understanding of frequently occurring verbs and adjectives by relating them to their opposites (antonyms).","http://corestandards.org/ELA-Literacy/L/K/5/b/","Language","L"
"K","Language, Speaking & Listening","LS&L","L.K.5c","Identify real-life connections between words and their use (e.g., note places at school that are colorful).","http://corestandards.org/ELA-Literacy/L/K/5/c/","Language","L"
"K","Language, Speaking & Listening","LS&L","L.K.5d","Distinguish shades of meaning among verbs describing the same general action (e.g., <em>walk, march, strut, prance</em>) by acting out the meanings.","http://corestandards.org/ELA-Literacy/L/K/5/d/","Language","L"
"K","Language, Speaking & Listening","LS&L","L.K.6","Use words and phrases acquired through conversations, reading and being read to, and responding to texts.","http://corestandards.org/ELA-Literacy/L/K/6/","Language","L"
"01","Language, Speaking & Listening","LS&L","L.1.1","Demonstrate command of the conventions of standard English grammar and usage when writing or speaking.","http://corestandards.org/ELA-Literacy/L/1/1/","Language","L"
"01","Language, Speaking & Listening","LS&L","L.1.1a","Print all upper- and lowercase letters.","http://corestandards.org/ELA-Literacy/L/1/1/a/","Language","L"
"01","Language, Speaking & Listening","LS&L","L.1.1b","Use common, proper, and possessive nouns.","http://corestandards.org/ELA-Literacy/L/1/1/b/","Language","L"
"01","Language, Speaking & Listening","LS&L","L.1.1c","Use singular and plural nouns with matching verbs in basic sentences (e.g., He hops; We hop).","http://corestandards.org/ELA-Literacy/L/1/1/c/","Language","L"
"01","Language, Speaking & Listening","LS&L","L.1.1d","Use personal, possessive, and indefinite pronouns (e.g., I, me, my; they, them, their, anyone, everything).","http://corestandards.org/ELA-Literacy/L/1/1/d/","Language","L"
"01","Language, Speaking & Listening","LS&L","L.1.1e","Use verbs to convey a sense of past, present, and future (e.g., Yesterday I walked home; Today I walk home; Tomorrow I will walk home).","http://corestandards.org/ELA-Literacy/L/1/1/e/","Language","L"
"01","Language, Speaking & Listening","LS&L","L.1.1f","Use frequently occurring adjectives.","http://corestandards.org/ELA-Literacy/L/1/1/f/","Language","L"
"01","Language, Speaking & Listening","LS&L","L.1.1g","Use frequently occurring conjunctions (e.g., <em>and, but, or, so, because</em>).","http://corestandards.org/ELA-Literacy/L/1/1/g/","Language","L"
"01","Language, Speaking & Listening","LS&L","L.1.1h","Use determiners (e.g., articles, demonstratives).","http://corestandards.org/ELA-Literacy/L/1/1/h/","Language","L"
"01","Language, Speaking & Listening","LS&L","L.1.1i","Use frequently occurring prepositions (e.g., <em>during, beyond, toward</em>).","http://corestandards.org/ELA-Literacy/L/1/1/i/","Language","L"
"01","Language, Speaking & Listening","LS&L","L.1.1j","Produce and expand complete simple and compound declarative, interrogative, imperative, and exclamatory sentences in response to prompts.","http://corestandards.org/ELA-Literacy/L/1/1/j/","Language","L"
"01","Language, Speaking & Listening","LS&L","L.1.2","Demonstrate command of the conventions of standard English capitalization, punctuation, and spelling when writing.","http://corestandards.org/ELA-Literacy/L/1/2/","Language","L"
"01","Language, Speaking & Listening","LS&L","L.1.2a","Capitalize dates and names of people.","http://corestandards.org/ELA-Literacy/L/1/2/a/","Language","L"
"01","Language, Speaking & Listening","LS&L","L.1.2b","Use end punctuation for sentences.","http://corestandards.org/ELA-Literacy/L/1/2/b/","Language","L"
"01","Language, Speaking & Listening","LS&L","L.1.2c","Use commas in dates and to separate single words in a series.","http://corestandards.org/ELA-Literacy/L/1/2/c/","Language","L"
"01","Language, Speaking & Listening","LS&L","L.1.2d","Use conventional spelling for words with common spelling patterns and for frequently occurring irregular words.","http://corestandards.org/ELA-Literacy/L/1/2/d/","Language","L"
"01","Language, Speaking & Listening","LS&L","L.1.2e","Spell untaught words phonetically, drawing on phonemic awareness and spelling conventions.","http://corestandards.org/ELA-Literacy/L/1/2/e/","Language","L"
"01","Language, Speaking & Listening","LS&L","L.1.4","Determine or clarify the meaning of unknown and multiple-meaning words and phrases based on <em>grade 1 reading and content</em>, choosing flexibly from an array of strategies.","http://corestandards.org/ELA-Literacy/L/1/4/","Language","L"
"01","Language, Speaking & Listening","LS&L","L.1.4a","Use sentence-level context as a clue to the meaning of a word or phrase.","http://corestandards.org/ELA-Literacy/L/1/4/a/","Language","L"
"01","Language, Speaking & Listening","LS&L","L.1.4b","Use frequently occurring affixes as a clue to the meaning of a word.","http://corestandards.org/ELA-Literacy/L/1/4/b/","Language","L"
"01","Language, Speaking & Listening","LS&L","L.1.4c","Identify frequently occurring root words (e.g., <em>look</em>) and their inflectional forms (e.g., <em>looks, looked, looking</em>).","http://corestandards.org/ELA-Literacy/L/1/4/c/","Language","L"
"01","Language, Speaking & Listening","LS&L","L.1.5","With guidance and support from adults, demonstrate understanding of word relationships and nuances in word meanings.","http://corestandards.org/ELA-Literacy/L/1/5/","Language","L"
"01","Language, Speaking & Listening","LS&L","L.1.5a","Sort words into categories (e.g., colors, clothing) to gain a sense of the concepts the categories represent.","http://corestandards.org/ELA-Literacy/L/1/5/a/","Language","L"
"01","Language, Speaking & Listening","LS&L","L.1.5b","Define words by category and by one or more key attributes (e.g., a <em>duck</em> is a bird that swims; a <em>tiger</em> is a large cat with stripes).","http://corestandards.org/ELA-Literacy/L/1/5/b/","Language","L"
"01","Language, Speaking & Listening","LS&L","L.1.5c","Identify real-life connections between words and their use (e.g., note places at home that are <em>cozy</em>).","http://corestandards.org/ELA-Literacy/L/1/5/c/","Language","L"
"01","Language, Speaking & Listening","LS&L","L.1.5d","Distinguish shades of meaning among verbs differing in manner (e.g., <em>look, peek, glance, stare, glare, scowl</em>) and adjectives differing in intensity (e.g., large, gigantic) by defining or choosing them or by acting out the meanings.","http://corestandards.org/ELA-Literacy/L/1/5/d/","Language","L"
"01","Language, Speaking & Listening","LS&L","L.1.6","Use words and phrases acquired through conversations, reading and being read to, and responding to texts, including using frequently occurring conjunctions to signal simple relationships (e.g., <em>because</em>).","http://corestandards.org/ELA-Literacy/L/1/6/","Language","L"
"02","Language, Speaking & Listening","LS&L","L.2.1","Demonstrate command of the conventions of standard English grammar and usage when writing or speaking.","http://corestandards.org/ELA-Literacy/L/2/1/","Language","L"
"02","Language, Speaking & Listening","LS&L","L.2.1a","Use collective nouns (e.g., <em>group</em>).","http://corestandards.org/ELA-Literacy/L/2/1/a/","Language","L"
"02","Language, Speaking & Listening","LS&L","L.2.1b","Form and use frequently occurring irregular plural nouns (e.g., <em>feet, children, teeth, mice, fish</em>).","http://corestandards.org/ELA-Literacy/L/2/1/b/","Language","L"
"02","Language, Speaking & Listening","LS&L","L.2.1c","Use reflexive pronouns (e.g., <em>myself, ourselves</em>).","http://corestandards.org/ELA-Literacy/L/2/1/c/","Language","L"
"02","Language, Speaking & Listening","LS&L","L.2.1d","Form and use the past tense of frequently occurring irregular verbs (e.g., <em>sat, hid, told</em>).","http://corestandards.org/ELA-Literacy/L/2/1/d/","Language","L"
"02","Language, Speaking & Listening","LS&L","L.2.1e","Use adjectives and adverbs, and choose between them depending on what is to be modified.","http://corestandards.org/ELA-Literacy/L/2/1/e/","Language","L"
"02","Language, Speaking & Listening","LS&L","L.2.1f","Produce, expand, and rearrange complete simple and compound sentences (e.g., <em>The boy watched the movie; The little boy watched the movie; The action movie was watched by the little boy</em>).","http://corestandards.org/ELA-Literacy/L/2/1/f/","Language","L"
"02","Language, Speaking & Listening","LS&L","L.2.2","Demonstrate command of the conventions of standard English capitalization, punctuation, and spelling when writing.","http://corestandards.org/ELA-Literacy/L/2/2/","Language","L"
"02","Language, Speaking & Listening","LS&L","L.2.2a","Capitalize holidays, product names, and geographic names.","http://corestandards.org/ELA-Literacy/L/2/2/a/","Language","L"
"02","Language, Speaking & Listening","LS&L","L.2.2b","Use commas in greetings and closings of letters.","http://corestandards.org/ELA-Literacy/L/2/2/b/","Language","L"
"02","Language, Speaking & Listening","LS&L","L.2.2c","Use an apostrophe to form contractions and frequently occurring possessives.","http://corestandards.org/ELA-Literacy/L/2/2/c/","Language","L"
"02","Language, Speaking & Listening","LS&L","L.2.2d","Generalize learned spelling patterns when writing words (e.g., <em>cage → badge; boy → boil</em>).","http://corestandards.org/ELA-Literacy/L/2/2/d/","Language","L"
"02","Language, Speaking & Listening","LS&L","L.2.2e","Consult reference materials, including beginning dictionaries, as needed to check and correct spellings.","http://corestandards.org/ELA-Literacy/L/2/2/e/","Language","L"
"02","Language, Speaking & Listening","LS&L","L.2.3","Use knowledge of language and its conventions when writing, speaking, reading, or listening.","http://corestandards.org/ELA-Literacy/L/2/3/","Language","L"
"02","Language, Speaking & Listening","LS&L","L.2.3a","Compare formal and informal uses of English","http://corestandards.org/ELA-Literacy/L/2/3/a/","Language","L"
"02","Language, Speaking & Listening","LS&L","L.2.4","Determine or clarify the meaning of unknown and multiple-meaning words and phrases based on grade 2 reading and content, choosing flexibly from an array of strategies.","http://corestandards.org/ELA-Literacy/L/2/4/","Language","L"
"02","Language, Speaking & Listening","LS&L","L.2.4a","Use sentence-level context as a clue to the meaning of a word or phrase.","http://corestandards.org/ELA-Literacy/L/2/4/a/","Language","L"
"02","Language, Speaking & Listening","LS&L","L.2.4b","Determine the meaning of the new word formed when a known prefix is added to a known word (e.g., <em>happy/unhappy, tell/retell</em>).","http://corestandards.org/ELA-Literacy/L/2/4/b/","Language","L"
"02","Language, Speaking & Listening","LS&L","L.2.4c","Use a known root word as a clue to the meaning of an unknown word with the same root (e.g., <em>addition, additional</em>).","http://corestandards.org/ELA-Literacy/L/2/4/c/","Language","L"
"02","Language, Speaking & Listening","LS&L","L.2.4d","Use knowledge of the meaning of individual words to predict the meaning of compound words (e.g., <em>birdhouse, lighthouse, housefly; bookshelf, notebook, bookmark</em>).","http://corestandards.org/ELA-Literacy/L/2/4/d/","Language","L"
"02","Language, Speaking & Listening","LS&L","L.2.4e","Use glossaries and beginning dictionaries, both print and digital, to determine or clarify the meaning of words and phrases.","http://corestandards.org/ELA-Literacy/L/2/4/e/","Language","L"
"02","Language, Speaking & Listening","LS&L","L.2.5","Demonstrate understanding of word relationships and nuances in word meanings.","http://corestandards.org/ELA-Literacy/L/2/5/","Language","L"
"02","Language, Speaking & Listening","LS&L","L.2.5a","Identify real-life connections between words and their use (e.g., <em>describe foods that are spicy or juicy</em>).","http://corestandards.org/ELA-Literacy/L/2/5/a/","Language","L"
"02","Language, Speaking & Listening","LS&L","L.2.5b","Distinguish shades of meaning among closely related verbs (e.g., <em>toss, throw, hurl</em>) and closely related adjectives (e.g., <em>thin, slender, skinny, scrawny</em>).","http://corestandards.org/ELA-Literacy/L/2/5/b/","Language","L"
"02","Language, Speaking & Listening","LS&L","L.2.6","Use words and phrases acquired through conversations, reading and being read to, and responding to texts, including using adjectives and adverbs to describe (e.g., <em>When other kids are happy that makes me happy</em>).","http://corestandards.org/ELA-Literacy/L/2/6/","Language","L"
"03","Language, Speaking & Listening","LS&L","L.3.1","Demonstrate command of the conventions of standard English grammar and usage when writing or speaking.","http://corestandards.org/ELA-Literacy/L/3/1/","Language","L"
"03","Language, Speaking & Listening","LS&L","L.3.1a","Explain the function of nouns, pronouns, verbs, adjectives, and adverbs in general and their functions in particular sentences.","http://corestandards.org/ELA-Literacy/L/3/1/a/","Language","L"
"03","Language, Speaking & Listening","LS&L","L.3.1b","Form and use regular and irregular plural nouns.","http://corestandards.org/ELA-Literacy/L/3/1/b/","Language","L"
"03","Language, Speaking & Listening","LS&L","L.3.1c","Use abstract nouns (e.g., <em>childhood</em>).","http://corestandards.org/ELA-Literacy/L/3/1/c/","Language","L"
"03","Language, Speaking & Listening","LS&L","L.3.1d","Form and use regular and irregular verbs.","http://corestandards.org/ELA-Literacy/L/3/1/d/","Language","L"
"03","Language, Speaking & Listening","LS&L","L.3.1e","Form and use the simple (e.g., <em>I walked; I walk; I will walk</em>) verb tenses.","http://corestandards.org/ELA-Literacy/L/3/1/e/","Language","L"
"03","Language, Speaking & Listening","LS&L","L.3.1f","Ensure subject-verb and pronoun-antecedent agreement.*","http://corestandards.org/ELA-Literacy/L/3/1/f/","Language","L"
"03","Language, Speaking & Listening","LS&L","L.3.1g","Form and use comparative and superlative adjectives and adverbs, and choose between them depending on what is to be modified.","http://corestandards.org/ELA-Literacy/L/3/1/g/","Language","L"
"03","Language, Speaking & Listening","LS&L","L.3.1h","Use coordinating and subordinating conjunctions.","http://corestandards.org/ELA-Literacy/L/3/1/h/","Language","L"
"03","Language, Speaking & Listening","LS&L","L.3.1i","Produce simple, compound, and complex sentences.","http://corestandards.org/ELA-Literacy/L/3/1/i/","Language","L"
"03","Language, Speaking & Listening","LS&L","L.3.2","Demonstrate command of the conventions of standard English capitalization, punctuation, and spelling when writing.","http://corestandards.org/ELA-Literacy/L/3/2/","Language","L"
"03","Language, Speaking & Listening","LS&L","L.3.2a","Capitalize appropriate words in titles.","http://corestandards.org/ELA-Literacy/L/3/2/a/","Language","L"
"03","Language, Speaking & Listening","LS&L","L.3.2b","Use commas in addresses.","http://corestandards.org/ELA-Literacy/L/3/2/b/","Language","L"
"03","Language, Speaking & Listening","LS&L","L.3.2c","Use commas and quotation marks in dialogue.","http://corestandards.org/ELA-Literacy/L/3/2/c/","Language","L"
"03","Language, Speaking & Listening","LS&L","L.3.2d","Form and use possessives.","http://corestandards.org/ELA-Literacy/L/3/2/d/","Language","L"
"03","Language, Speaking & Listening","LS&L","L.3.2e","Use conventional spelling for high-frequency and other studied words and for adding suffixes to base words (e.g., <em>sitting, smiled, cries, happiness</em>).","http://corestandards.org/ELA-Literacy/L/3/2/e/","Language","L"
"03","Language, Speaking & Listening","LS&L","L.3.2f","Use spelling patterns and generalizations (e.g., <em>word families, position-based spellings, syllable patterns, ending rules, meaningful word parts</em>) in writing words.","http://corestandards.org/ELA-Literacy/L/3/2/f/","Language","L"
"03","Language, Speaking & Listening","LS&L","L.3.2g","Consult reference materials, including beginning dictionaries, as needed to check and correct spellings.","http://corestandards.org/ELA-Literacy/L/3/2/g/","Language","L"
"03","Language, Speaking & Listening","LS&L","L.3.3","Use knowledge of language and its conventions when writing, speaking, reading, or listening.","http://corestandards.org/ELA-Literacy/L/3/3/","Language","L"
"03","Language, Speaking & Listening","LS&L","L.3.3a","Choose words and phrases for effect.*","http://corestandards.org/ELA-Literacy/L/3/3/a/","Language","L"
"03","Language, Speaking & Listening","LS&L","L.3.3b","Recognize and observe differences between the conventions of spoken and written standard English.","http://corestandards.org/ELA-Literacy/L/3/3/b/","Language","L"
"03","Language, Speaking & Listening","LS&L","L.3.4","Determine or clarify the meaning of unknown and multiple-meaning word and phrases based on grade 3 reading and content, choosing flexibly from a range of strategies.","http://corestandards.org/ELA-Literacy/L/3/4/","Language","L"
"03","Language, Speaking & Listening","LS&L","L.3.4a","Use sentence-level context as a clue to the meaning of a word or phrase.","http://corestandards.org/ELA-Literacy/L/3/4/a/","Language","L"
"03","Language, Speaking & Listening","LS&L","L.3.4b","Determine the meaning of the new word formed when a known affix is added to a known word (e.g., <em>agreeable/disagreeable, comfortable/uncomfortable, care/careless, heat/preheat</em>).","http://corestandards.org/ELA-Literacy/L/3/4/b/","Language","L"
"03","Language, Speaking & Listening","LS&L","L.3.4c","Use a known root word as a clue to the meaning of an unknown word with the same root (e.g., <em>company, companion</em>).","http://corestandards.org/ELA-Literacy/L/3/4/c/","Language","L"
"03","Language, Speaking & Listening","LS&L","L.3.4d","Use glossaries or beginning dictionaries, both print and digital, to determine or clarify the precise meaning of key words and phrases.","http://corestandards.org/ELA-Literacy/L/3/4/d/","Language","L"
"03","Language, Speaking & Listening","LS&L","L.3.5","Demonstrate understanding of figurative language, word relationships and nuances in word meanings.","http://corestandards.org/ELA-Literacy/L/3/5/","Language","L"
"03","Language, Speaking & Listening","LS&L","L.3.5a","Distinguish the literal and nonliteral meanings of words and phrases in context (e.g., <em>take steps</em>).","http://corestandards.org/ELA-Literacy/L/3/5/a/","Language","L"
"03","Language, Speaking & Listening","LS&L","L.3.5b","Identify real-life connections between words and their use (e.g., describe people who are <em>friendly</em> or <em>helpful</em>).","http://corestandards.org/ELA-Literacy/L/3/5/b/","Language","L"
"03","Language, Speaking & Listening","LS&L","L.3.5c","Distinguish shades of meaning among related words that describe states of mind or degrees of certainty (e.g., <em>knew, believed, suspected, heard, wondered</em>).","http://corestandards.org/ELA-Literacy/L/3/5/c/","Language","L"
