grade,dimension,dim,subcategory,subcat,code,statement,PEcode,performanceExpectation,clarifyingStatement,assessmentBoundary
"6,7,8",Science & Engineering Practices,SEP,Developing & Using Models,MOD,MOD-M4,"Develop and/or revise a model to show the relationships among variables, including those that are not observable but predict observable phenomena.",,,,
"6,7,8",Science & Engineering Practices,SEP,Developing & Using Models,MOD,MOD-M5,Develop and/or use a model to predict and/or describe phenomena.,,,,
"6,7,8",Science & Engineering Practices,SEP,Developing & Using Models,MOD,MOD-M6,Develop a model to describe unobservable mechanisms.,,,,
"6,7,8",Science & Engineering Practices,SEP,Developing & Using Models,MOD,MOD-M7,"Develop and/or use a model to generate data to test ideas about phenomena in natural or designed systems, including those representing inputs and outputs, and those at unobservable scales.",,,,
"9,10,11,12",Science & Engineering Practices,SEP,Developing & Using Models,MOD,MOD-H1,"Evaluate merits and limitations of two different models of the same proposed tool, process, mechanism, or system in order to select or revise a model that best fits the evidence or design criteria.",,,,
"9,10,11,12",Science & Engineering Practices,SEP,Developing & Using Models,MOD,MOD-H2,Design a test of a model to ascertain its reliability.,,,,
"9,10,11,12",Science & Engineering Practices,SEP,Developing & Using Models,MOD,MOD-H3,"Develop, revise, and/or use a model based on evidence to illustrate and/or predict the relationships between systems or between components of a system.",,,,
"9,10,11,12",Science & Engineering Practices,SEP,Developing & Using Models,MOD,MOD-H4,"Develop and/or use multiple types of models to provide mechanistic accounts and/or predict phenomena, and move flexibly between model types based on merits and limitations.",,,,
"9,10,11,12",Science & Engineering Practices,SEP,Developing & Using Models,MOD,MOD-H5,Use a model to provide mechanistic accounts of phenomena.,,,,
"9,10,11,12",Science & Engineering Practices,SEP,Developing & Using Models,MOD,MOD-H6,Develop a complex model that allows for manipulation and testing of a proposed process or system.,,,,
"9,10,11,12",Science & Engineering Practices,SEP,Developing & Using Models,MOD,MOD-H7,"Develop and/or use a model (including mathematical and computational) to generate data to support explanations, predict phenomena, analyze systems, and/or solve problems.",,,,
"k,1,2",Science & Engineering Practices,SEP,Planning & Carrying out Investigations,INV,INV-P1,"With guidance, plan and conduct an investigation in collaboration with peers.",,,,
"k,1,2",Science & Engineering Practices,SEP,Planning & Carrying out Investigations,INV,INV-P2,Plan and conduct an investigation collaboratively to produce data to serve as the basis for evidence to answer a question.,,,,
"k,1,2",Science & Engineering Practices,SEP,Planning & Carrying out Investigations,INV,INV-P3,Evaluate different ways of observing and/or measuring a phenomenon to determine which way can answer a question.,,,,
"k,1,2",Science & Engineering Practices,SEP,Planning & Carrying out Investigations,INV,INV-P4,Make observations (firsthand or from media) to collect data that can be used to make comparisons.,,,,
"k,1,2",Science & Engineering Practices,SEP,Planning & Carrying out Investigations,INV,INV-P5,Make observations (firsthand or from media) and/or measurements of a proposed object or tool or solution to determine if it solves a problem or meets a goal.,,,,
"k,1,2",Science & Engineering Practices,SEP,Planning & Carrying out Investigations,INV,INV-P6,Make predictions based on prior experiences.,,,,
"3,4,5",Science & Engineering Practices,SEP,Planning & Carrying out Investigations,INV,INV-E1,"Plan and conduct an investigation collaboratively to produce data to serve as the basis for evidence, using fair tests in which variables are controlled and the number of trials considered.",,,,
"3,4,5",Science & Engineering Practices,SEP,Planning & Carrying out Investigations,INV,INV-E2,Evaluate appropriate methods and/or tools for collecting data.,,,,
"3,4,5",Science & Engineering Practices,SEP,Planning & Carrying out Investigations,INV,INV-E3,Make observations and/or measurements to produce data to serve as the basis for evidence for an explanation of a phenomenon or test a design solution.,,,,
"3,4,5",Science & Engineering Practices,SEP,Planning & Carrying out Investigations,INV,INV-E4,Make predictions about what would happen if a variable changes.,,,,
"3,4,5",Science & Engineering Practices,SEP,Planning & Carrying out Investigations,INV,INV-E5,"Test two different models of the same proposed object, tool, or process to determine which better meets criteria for success.",,,,
"6,7,8",Science & Engineering Practices,SEP,Planning & Carrying out Investigations,INV,INV-M1,"Plan an investigation individually and collaboratively, and in the design: identify independent and dependent variables and controls, what tools are needed to do the gathering, how measurements will be recorded, and how many data are needed to support a claim.",,,,
"6,7,8",Science & Engineering Practices,SEP,Planning & Carrying out Investigations,INV,INV-M2,Conduct an investigation and/or evaluate and/or revise the experimental design to produce data to serve as the basis for evidence that meet the goals of the investigation.,,,,
"6,7,8",Science & Engineering Practices,SEP,Planning & Carrying out Investigations,INV,INV-M3,Evaluate the accuracy of various methods for collecting data.,,,,
"6,7,8",Science & Engineering Practices,SEP,Planning & Carrying out Investigations,INV,INV-M4,Collect data to produce data to serve as the basis for evidence to answer scientific questions or test design solutions under a range of conditions.,,,,
"6,7,8",Science & Engineering Practices,SEP,Planning & Carrying out Investigations,INV,INV-M5,"Collect data about the performance of a proposed object, tool, process, or system under a range of conditions.",,,,
"9,10,11,12",Science & Engineering Practices,SEP,Planning & Carrying out Investigations,INV,INV-H1,"Plan an investigation or test a design individually and collaboratively to produce data to serve as the basis for evidence as part of building and revising models, supporting explanations for phenomena, or testing solutions to problems. Consider possible variables or effects and evaluate the confounding investigation’s design to ensure variables are controlled.",,,,
"9,10,11,12",Science & Engineering Practices,SEP,Planning & Carrying out Investigations,INV,INV-H2,"Plan and conduct an investigation individually and collaboratively to produce data to serve as the basis for evidence, and in the design: decide on types, how much, and accuracy of data needed to produce reliable measurements and consider limitations on the precision of the data (e.g., number of trials, cost, risk, time), and refine the design accordingly.",,,,
"9,10,11,12",Science & Engineering Practices,SEP,Planning & Carrying out Investigations,INV,INV-H3,"Plan and conduct an investigation or test a design solution in a safe and ethical manner including considerations of environmental, social, and personal impacts.",,,,
"9,10,11,12",Science & Engineering Practices,SEP,Planning & Carrying out Investigations,INV,INV-H4,"Select appropriate tools to collect, record, analyze, and evaluate data.",,,,
"9,10,11,12",Science & Engineering Practices,SEP,Planning & Carrying out Investigations,INV,INV-H5,Make directional hypotheses that specify what happens to a dependent variable when an independent variable is manipulated.,,,,
"9,10,11,12",Science & Engineering Practices,SEP,Planning & Carrying out Investigations,INV,INV-H6,Manipulate variables and collect data about a complex model of a proposed process or system to identify failure points or improve performance relative to criteria for success or other variables.,,,,
"k,1,2",Science & Engineering Practices,SEP,Analyzing Data,DATA,DATA-P1,"Record information (observations, thoughts, and ideas).",,,,
"k,1,2",Science & Engineering Practices,SEP,Analyzing Data,DATA,DATA-P2,"Use and share pictures, drawings, and/or writings of observations.",,,,
"k,1,2",Science & Engineering Practices,SEP,Analyzing Data,DATA,DATA-P3,Use observations (firsthand or from media) to describe patterns and/or relationships in the natural and designed world(s) in order to answer scientific questions and solve problems.,,,,
"k,1,2",Science & Engineering Practices,SEP,Analyzing Data,DATA,DATA-P4,Compare predictions (based on prior experiences) to what occurred (observable events).,,,,
"k,1,2",Science & Engineering Practices,SEP,Analyzing Data,DATA,DATA-P5,Analyze data from tests of an object or tool to determine if it works as intended.,,,,
"3,4,5",Science & Engineering Practices,SEP,Analyzing Data,DATA,DATA-E1,"Represent data in tables and/or various graphical displays (bar graphs, pictographs, and/or pie charts) to reveal patterns that indicate relationships.",,,,
"3,4,5",Science & Engineering Practices,SEP,Analyzing Data,DATA,DATA-E2,"Analyze and interpret data to make sense of phenomena, using logical reasoning, mathematics, and/or computation.",,,,
"3,4,5",Science & Engineering Practices,SEP,Analyzing Data,DATA,DATA-E3,Compare and contrast data collected by different groups in order to discuss similarities and differences in their findings.,,,,
"3,4,5",Science & Engineering Practices,SEP,Analyzing Data,DATA,DATA-E4,"Analyze data to refine a problem statement or the design of a proposed object, tool, or process.",,,,
"3,4,5",Science & Engineering Practices,SEP,Analyzing Data,DATA,DATA-E5,Use data to evaluate and refine design solutions.,,,,
"6,7,8",Science & Engineering Practices,SEP,Analyzing Data,DATA,DATA-M1,"Construct, analyze, and/or interpret graphical displays of data and/or large data sets to identify linear and nonlinear relationships.",,,,
"6,7,8",Science & Engineering Practices,SEP,Analyzing Data,DATA,DATA-M2,"Use graphical displays (e.g., maps, charts, graphs, and/or tables) of large data sets to identify temporal and spatial relationships.",,,,
"6,7,8",Science & Engineering Practices,SEP,Analyzing Data,DATA,DATA-M3,Distinguish between causal and correlational relationships in data.,,,,
"6,7,8",Science & Engineering Practices,SEP,Analyzing Data,DATA,DATA-M4,Analyze and interpret data to provide evidence for phenomena.,,,,
"6,7,8",Science & Engineering Practices,SEP,Analyzing Data,DATA,DATA-M5,"Apply concepts of statistics and probability (including mean, median, mode, and variability) to analyze and characterize data, using digital tools when feasible.",,,,
"6,7,8",Science & Engineering Practices,SEP,Analyzing Data,DATA,DATA-M6,"Consider limitations of data analysis (e.g., measurement error), and/or seek to improve precision and accuracy of data with better technological tools and methods (e.g., multiple trials).",,,,
"6,7,8",Science & Engineering Practices,SEP,Analyzing Data,DATA,DATA-M7,Analyze and interpret data to determine similarities and differences in findings.,,,,
"6,7,8",Science & Engineering Practices,SEP,Analyzing Data,DATA,DATA-M8,"Analyze data to define an optimal operational range for a proposed object, tool, process or system that best meets criteria for success.",,,,
"9,10,11,12",Science & Engineering Practices,SEP,Analyzing Data,DATA,DATA-H1,"Analyze data using tools, technologies, and/or models (e.g., computational, mathematical) in order to make valid and reliable scientific claims or determine an optimal design solution.",,,,
"9,10,11,12",Science & Engineering Practices,SEP,Analyzing Data,DATA,DATA-H2,"Apply concepts of statistics and probability (including determining function fits to data, slope, intercept, and correlation coefficient for linear fits) to scientific and engineering questions and problems, using digital tools when feasible.",,,,
"9,10,11,12",Science & Engineering Practices,SEP,Analyzing Data,DATA,DATA-H3,"Consider limitations of data analysis (e.g., measurement error, sample selection) when analyzing and interpreting data.",,,,
"9,10,11,12",Science & Engineering Practices,SEP,Analyzing Data,DATA,DATA-H4,"Compare and contrast various types of data sets (e.g., self-generated, archival) to examine consistency of measurements and observations.",,,,
"9,10,11,12",Science & Engineering Practices,SEP,Analyzing Data,DATA,DATA-H5,Evaluate the impact of new data on a working explanation and/or model of a proposed process or system.,,,,
"9,10,11,12",Science & Engineering Practices,SEP,Analyzing Data,DATA,DATA-H6,Analyze data to identify design features or characteristics of the components of a proposed process or system to optimize it relative to criteria for success.,,,,
"k,1,2",Science & Engineering Practices,SEP,Using Mathematics & Computational Thinking,MATH,MATH-P1,Decide when to use qualitative vs. quantitative data.,,,,
"k,1,2",Science & Engineering Practices,SEP,Using Mathematics & Computational Thinking,MATH,MATH-P2,Use counting and numbers to identify and describe patterns in the natural and designed world(s).,,,,
"k,1,2",Science & Engineering Practices,SEP,Using Mathematics & Computational Thinking,MATH,MATH-P3,"Describe, measure, and/or compare quantitative attributes of different objects and display the data using simple graphs.",,,,
"k,1,2",Science & Engineering Practices,SEP,Using Mathematics & Computational Thinking,MATH,MATH-P4,Use quantitative data to compare two alternative solutions to a problem.,,,,
"3,4,5",Science & Engineering Practices,SEP,Using Mathematics & Computational Thinking,MATH,MATH-E1,Decide if qualitative or quantitative data are best to determine whether a proposed object or tool meets criteria for success.,,,,
"3,4,5",Science & Engineering Practices,SEP,Using Mathematics & Computational Thinking,MATH,MATH-E2,Organize simple data sets to reveal patterns that suggest relationships.,,,,
"3,4,5",Science & Engineering Practices,SEP,Using Mathematics & Computational Thinking,MATH,MATH-E3,"Describe, measure, estimate, and/or graph quantities such as area, volume, weight, and time to address scientific and engineering questions and problems.",,,,
"3,4,5",Science & Engineering Practices,SEP,Using Mathematics & Computational Thinking,MATH,MATH-E4,Create and/or use graphs and/or charts generated from simple algorithms to compare alternative solutions to an engineering problem.,,,,
"6,7,8",Science & Engineering Practices,SEP,Using Mathematics & Computational Thinking,MATH,MATH-M1,"Use digital tools (e.g., computers) to analyze very large data sets for patterns and trends.",,,,
"6,7,8",Science & Engineering Practices,SEP,Using Mathematics & Computational Thinking,MATH,MATH-M2,Use mathematical representations to describe and/or support scientific conclusions and design solutions.,,,,
"6,7,8",Science & Engineering Practices,SEP,Using Mathematics & Computational Thinking,MATH,MATH-M3,Create algorithms (a series of ordered steps) to solve a problem.,,,,
"6,7,8",Science & Engineering Practices,SEP,Using Mathematics & Computational Thinking,MATH,MATH-M4,"Apply mathematical concepts and/or processes (such as ratio, rate, percent, basic operations, and simple algebra) to scientific and engineering questions and problems.",,,,
"6,7,8",Science & Engineering Practices,SEP,Using Mathematics & Computational Thinking,MATH,MATH-M5,Use digital tools and/or mathematical concepts and arguments to test and compare proposed solutions to an engineering design problem.,,,,
"9,10,11,12",Science & Engineering Practices,SEP,Using Mathematics & Computational Thinking,MATH,MATH-H1,"Create and/or revise a computational model or simulation of a phenomenon, designed device, process, or system.",,,,
"9,10,11,12",Science & Engineering Practices,SEP,Using Mathematics & Computational Thinking,MATH,MATH-H2,"Use mathematical, computational, and/or algorithmic representations of phenomena or design solutions to describe and/or support claims and/or explanations.",,,,
"9,10,11,12",Science & Engineering Practices,SEP,Using Mathematics & Computational Thinking,MATH,MATH-H3,Apply techniques of algebra and functions to represent and solve scientific and engineering problems.,,,,
"9,10,11,12",Science & Engineering Practices,SEP,Using Mathematics & Computational Thinking,MATH,MATH-H4,"Use simple limit cases to test mathematical expressions, computer programs, algorithms, or simulations of a process or system to see if a model “makes sense” by comparing the outcomes with what is known about the real world.",,,,
"9,10,11,12",Science & Engineering Practices,SEP,Using Mathematics & Computational Thinking,MATH,MATH-H5,"Apply ratios, rates, percentages, and unit conversions in the context of complicated measurement problems involving quantities with derived or compound units (such as mg/mL, kg/m3, acre-feet, etc.).",,,,
"9,10,11,12",Science & Engineering Practices,SEP,Using Mathematics & Computational Thinking,MATH,MATH-H6,Use mathematical models and/or computer simulations to predict the effects of a design solution on systems and/or the interactions between systems.,,,,
"k,1,2",Science & Engineering Practices,SEP,Constructing Explanations & Designing Solutions,CEDS,CEDS-P1,Use information from observations (firsthand and from media) to construct an evidence-based account for natural phenomena.,,,,
"k,1,2",Science & Engineering Practices,SEP,Constructing Explanations & Designing Solutions,CEDS,CEDS-P2,Use tools and/or materials to design and/or build a device that solves a specific problem or a solution to a specific problem.,,,,
"k,1,2",Science & Engineering Practices,SEP,Constructing Explanations & Designing Solutions,CEDS,CEDS-P3,Generate and/or compare multiple solutions to a problem.,,,,
"3,4,5",Science & Engineering Practices,SEP,Constructing Explanations & Designing Solutions,CEDS,CEDS-E1,"Construct an explanation of observed relationships (e.g., the distribution of plants in the back yard).",,,,
"3,4,5",Science & Engineering Practices,SEP,Constructing Explanations & Designing Solutions,CEDS,CEDS-E2,"Use evidence (e.g., measurements, observations, patterns) to construct or support an explanation or design a solution to a problem.",,,,
"3,4,5",Science & Engineering Practices,SEP,Constructing Explanations & Designing Solutions,CEDS,CEDS-E3,Identify the evidence that supports particular points in an explanation.,,,,
"3,4,5",Science & Engineering Practices,SEP,Constructing Explanations & Designing Solutions,CEDS,CEDS-E4,Apply scientific ideas to solve design problems.,,,,
"3,4,5",Science & Engineering Practices,SEP,Constructing Explanations & Designing Solutions,CEDS,CEDS-E5,Generate and compare multiple solutions to a problem based on how well they meet the criteria and constraints of the design solution.,,,,
"6,7,8",Science & Engineering Practices,SEP,Constructing Explanations & Designing Solutions,CEDS,CEDS-M1,Construct an explanation that includes qualitative or quantitative relationships between variables that predict(s) and/or describe(s) phenomena.,,,,
"6,7,8",Science & Engineering Practices,SEP,Constructing Explanations & Designing Solutions,CEDS,CEDS-M2,Construct an explanation using models or representations.,,,,
"6,7,8",Science & Engineering Practices,SEP,Constructing Explanations & Designing Solutions,CEDS,CEDS-M3,Construct a scientific explanation based on valid and reliable evidence obtained from sources (including the students’ own experiments) and the assumption that theories and laws that describe the natural world operate today as they did in the past and will continue to do so in the future.,,,,
"6,7,8",Science & Engineering Practices,SEP,Constructing Explanations & Designing Solutions,CEDS,CEDS-M4,"Apply scientific ideas, principles, and/or evidence to construct, revise and/or use an explanation for real-world phenomena, examples, or events.",,,,
"6,7,8",Science & Engineering Practices,SEP,Constructing Explanations & Designing Solutions,CEDS,CEDS-M5,Apply scientific reasoning to show why the data or evidence is adequate for the explanation or conclusion.,,,,
"6,7,8",Science & Engineering Practices,SEP,Constructing Explanations & Designing Solutions,CEDS,CEDS-M6,"Apply scientific ideas or principles to design, construct, and/or test a design of an object, tool, process or system.",,,,
"6,7,8",Science & Engineering Practices,SEP,Constructing Explanations & Designing Solutions,CEDS,CEDS-M7,"Undertake a design project, engaging in the design cycle, to construct and/or implement a solution that meets specific design criteria and constraints.",,,,
"6,7,8",Science & Engineering Practices,SEP,Constructing Explanations & Designing Solutions,CEDS,CEDS-M8,"Optimize performance of a design by prioritizing criteria, making tradeoffs, testing, revising, and re-testing.",,,,
"9,10,11,12",Science & Engineering Practices,SEP,Constructing Explanations & Designing Solutions,CEDS,CEDS-H1,Make a quantitative and/or qualitative claim regarding the relationship between dependent and independent variables.,,,,
"9,10,11,12",Science & Engineering Practices,SEP,Constructing Explanations & Designing Solutions,CEDS,CEDS-H2,"Construct and revise an explanation based on valid and reliable evidence obtained from a variety of sources (including students’ own investigations, models, theories, simulations, peer review) and the assumption that theories and laws that describe the natural world operate today as they did in the past and will continue to do so in the future.",,,,
"9,10,11,12",Science & Engineering Practices,SEP,Constructing Explanations & Designing Solutions,CEDS,CEDS-H3,"Apply scientific ideas, principles, and/or evidence to provide an explanation of phenomena and solve design problems, taking into account possible unanticipated effects.",,,,
"9,10,11,12",Science & Engineering Practices,SEP,Constructing Explanations & Designing Solutions,CEDS,CEDS-H4,"Apply scientific reasoning, theory, and/or models to link evidence to the claims to assess the extent to which the reasoning and data support the explanation or conclusion.",,,,
"9,10,11,12",Science & Engineering Practices,SEP,Constructing Explanations & Designing Solutions,CEDS,CEDS-H5,"Design, evaluate, and/or refine a solution to a complex real-world problem, based on scientific knowledge, student-generated sources of evidence, prioritized criteria, and tradeoff considerations.",,,,
"k,1,2",Science & Engineering Practices,SEP,Engaging in Argument from Evidence,ARG,ARG-P1,Identify arguments that are supported by evidence.,,,,
"k,1,2",Science & Engineering Practices,SEP,Engaging in Argument from Evidence,ARG,ARG-P2,Distinguish between explanations that account for all gathered evidence and those that do not.,,,,
"k,1,2",Science & Engineering Practices,SEP,Engaging in Argument from Evidence,ARG,ARG-P3,Analyze why some evidence is relevant to a scientific question and some is not.,,,,
"k,1,2",Science & Engineering Practices,SEP,Engaging in Argument from Evidence,ARG,ARG-P4,Distinguish between opinions and evidence in one’s own explanations.,,,,
"k,1,2",Science & Engineering Practices,SEP,Engaging in Argument from Evidence,ARG,ARG-P5,"Listen actively to arguments to indicate agreement or disagreement based on evidence, and/or to retell the main points of the argument.",,,,
"k,1,2",Science & Engineering Practices,SEP,Engaging in Argument from Evidence,ARG,ARG-P6,Construct an argument with evidence to support a claim.,,,,
"k,1,2",Science & Engineering Practices,SEP,Engaging in Argument from Evidence,ARG,ARG-P7,"Make a claim about the effectiveness of an object, tool, or solution that is supported by relevant evidence.",,,,
"3,4,5",Science & Engineering Practices,SEP,Engaging in Argument from Evidence,ARG,ARG-E1,Compare and refine arguments based on an evaluation of the evidence presented.,,,,
"3,4,5",Science & Engineering Practices,SEP,Engaging in Argument from Evidence,ARG,ARG-E2,"Distinguish among facts, reasoned judgment based on research findings, and speculation in an explanation.",,,,
"3,4,5",Science & Engineering Practices,SEP,Engaging in Argument from Evidence,ARG,ARG-E3,"Respectfully provide and receive critiques from peers about a proposed procedure, explanation or model by citing relevant evidence and posing specific questions.",,,,
"3,4,5",Science & Engineering Practices,SEP,Engaging in Argument from Evidence,ARG,ARG-E4,"Construct and/or support an argument with evidence, data, and/or a model.",,,,
"3,4,5",Science & Engineering Practices,SEP,Engaging in Argument from Evidence,ARG,ARG-E5,Use data to evaluate claims about cause and effect.,,,,
"3,4,5",Science & Engineering Practices,SEP,Engaging in Argument from Evidence,ARG,ARG-E6,Make a claim about the merit of a solution to a problem by citing relevant evidence about how it meets the criteria and constraints of the problem.,,,,
"6,7,8",Science & Engineering Practices,SEP,Engaging in Argument from Evidence,ARG,ARG-M1,Compare and critique two arguments on the same topic and analyze whether they emphasize similar or different evidence and/or interpretations of facts.,,,,
"6,7,8",Science & Engineering Practices,SEP,Engaging in Argument from Evidence,ARG,ARG-M2,"Respectfully provide and receive critiques about one’s explanations, procedures, models and questions by citing relevant evidence and posing and responding to questions that elicit pertinent elaboration and detail.",,,,
"6,7,8",Science & Engineering Practices,SEP,Engaging in Argument from Evidence,ARG,ARG-M3,"Construct, use, and/or present an oral and written argument supported by empirical evidence and scientific reasoning to support or refute an explanation or a model for a phenomenon or a solution to a problem.",,,,
"6,7,8",Science & Engineering Practices,SEP,Engaging in Argument from Evidence,ARG,ARG-M4,"Make an oral or written argument that supports or refutes the advertised performance of a device, process, or system, based on empirical evidence concerning whether or not the technology meets relevant criteria and constraints.",,,,
"6,7,8",Science & Engineering Practices,SEP,Engaging in Argument from Evidence,ARG,ARG-M5,Evaluate competing design solutions based on jointly developed and agreed-upon design criteria.,,,,
"9,10,11,12",Science & Engineering Practices,SEP,Engaging in Argument from Evidence,ARG,ARG-H1,"Compare and evaluate competing arguments or design solutions in light of currently accepted explanations, new evidence, limitations (e.g., trade-offs), constraints, and ethical issues.",,,,
"9,10,11,12",Science & Engineering Practices,SEP,Engaging in Argument from Evidence,ARG,ARG-H2,"Evaluate the claims, evidence, and/or reasoning behind currently accepted explanations or solutions to determine the merits of arguments.",,,,
